"BOTLEY HEDGE END, BOWCOTE",,,,,,,,,,,,
Grid ref,SU484121,Long,-1.313015,Lat,50.906350,,,,,,,
Station no,RR8414,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.90,,
February,,,,,,,,,,0.32,,
March,,,,,,,,,,3.66,,
April,,,,,,,,,,1.40,,
May,,,,,,,,,,1.81,,
June,,,,,,,,,,4.97,,
July,,,,,,,,,,2.57,,
August,,,,,,,,,,2.24,,
September,,,,,,,,,,4.21,,
October,,,,,,,,,,8.92,,
November,,,,,,,,,,0.61,,
December,,,,,,,,,,4.43,,
Total,,,,,,,,,,36.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
