BOTLEY-HEDGE-END-BOWCOTE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU484122,Long,-1.31197,Lat,50.90729,Elevation,178,ft,,,,,,,,,,,,
Station no,RR8414,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,3.43,1.47,4.11,5.94,0.68,4.31,1.68,1.3,4.16,
February,,,,,,,,,,0.32,4.02,1.92,2.75,1.36,4.64,5.77,5.23,1.29,1.76,
March,,,,,,,,,,3.66,0.96,2.3,4.15,3.75,4.96,0.89,3.76,3.76,1.06,
April,,,,,,,,,,1.4,2.66,1.93,0.09,3.22,1.69,1.29,0.87,3.21,2.43,
May,,,,,,,,,,1.81,1.64,2.03,1.38,2.95,1.39,3.82,1.43,2.36,1.53,
June,,,,,,,,,,4.97,3.48,2.01,4.39,0.58,0.54,1.65,1.91,3.31,1.2,
July,,,,,,,,,,2.57,2.15,0.1,3.11,1.56,2.73,4.36,1.08,3.15,,
August,,,,,,,,,,2.24,2.33,0.92,6.04,2.71,2.53,2.39,3.64,5.57,,
September,,,,,,,,,,4.21,0.18,1.12,2.55,2.3,1.5,3.61,2.48,1.63,,
October,,,,,,,,,,8.92,4.23,4.46,3.96,5.08,2.63,4.18,5.73,5.06,,
November,,,,,,,,,,0.61,3.91,4.56,2.38,3.88,3.94,3.32,4.79,1.01,,
December,,,,,,,,,,4.43,4.98,9.34,4.76,2.01,9.83,8.87,4.52,1.16,,
Total,,,,,,,,,,,33.97,32.16,39.67,35.34,37.06,44.46,37.12,32.81,,
,,,,,,,,,,,,,,,,,,,,
Exact house not found but this matches distance to church and elevation,,,,,,,,,,,,,,,,,,,,
1909 Jan 1-14 Estimated,,,,,,,,,,,,,,,,,,,,
1911 Sept 3 Gauge moved 22yds NNE,,,,,,,,,,,,,,,,,,,,
1912 Gauge moved slightly,,,,,,,,,,,,,,,,,,,,
1918 June 30 Gauge moved 200yds E Elevation 30ft higher,,,,,,,,,,,,,,,,,,,,
