"GLAMIS, FORFAR",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 385 468,Long,-3.004052,Lat,56.609153,Elevation,280,ft,,,,,,,,,,,,
Station no,RR1975,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,-999,2.3,5.8,4.9,,,,,,,,,,
February,,,,,,,-999,4.3,3.9,,,,,,,,,,,
March,,,,,,,-999,1.3,3.1,,,,,,,,,,,
April,,,,,,,-999,4.2,1.3,,,,,,,,,,0.62,
May,,,,,,,-999,1.6,3.9,,,,,,,,,,0.38,
June,,,,,,,-999,2.4,4.9,,,,,,,,,,,
July,,,,,,,-999,4.6,2.8,,,,,,,,,,,
August,,,,,,,-999,3.4,3.1,,,,,,,,,,,
September,,,,,,,-999,1.7,2.4,,,,,,,,,,,
October,,,,,,,5.5,1.8,3.2,,,,,,,,,,,
November,,,,,,,5.6,1.7,6,,,,,,,,,,,
December,,,,,,,3.3,3.4,2.8,,,,,,,,,,,
Total,,,,,,,42.7,32.7,43.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
