"MERE (CHARNAGE)",,,,,,,,,,,,
Grid ref,ST833319,Long,-2.239807,Lat,51.086169,,,,,,,
Station no,1502,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.96,3.10,0.83,2.32,4.23,5.41,2.88,3.70,5.66,4.09,,
February,5.63,1.10,2.11,3.33,1.98,0.12,3.32,3.86,0.33,3.18,,
March,3.99,4.35,0.69,4.19,1.44,1.51,2.42,1.42,4.43,2.10,,
April,3.80,2.02,3.09,0.32,0.94,1.49,0.30,0.99,2.68,1.80,,
May,2.94,3.31,2.20,2.12,3.91,0.59,1.98,2.71,1.33,1.20,,
June,1.09,1.90,2.17,4.03,2.67,1.99,1.79,4.61,0.67,2.91,,
July,1.55,0.98,3.93,3.39,0.90,3.24,5.51,1.71,2.09,3.78,,
August,5.81,3.62,4.16,3.22,0.50,5.87,2.82,4.02,0.88,5.73,,
September,3.17,3.85,3.47,2.98,1.39,3.52,3.49,6.13,0.18,4.84,,
October,1.01,4.99,3.78,3.68,2.75,1.81,2.69,2.72,3.08,7.76,,
November,9.67,4.64,2.10,6.58,3.03,0.96,2.51,1.96,3.51,4.84,,
December,2.75,3.55,0.93,3.18,5.28,3.91,3.22,3.85,7.53,5.07,,
Total,45.37,37.41,29.46,39.34,29.02,30.42,32.93,37.68,32.37,47.30,,
Calc annual,45.37,37.41,29.46,39.34,29.02,30.42,32.93,37.68,32.37,47.30,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
