MERE CHARNAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST833319,Long,-2.239807,Lat,51.086169,Elevation,426,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.06,1.07,4.77,4.4,2.18,1.2,3.58,3.71,1.11,6.21,0.75,1.93,1.57,4.86,1.82,4.91,5.31,1.61,4.62,2.09,1.37,3.97,4.31,4.73,3.1,4.78,1.83,4.42,4.54,4.4,3.71,4.02,1.7,5.28,3.13,2.82,2.52,2.96,0.82,3.49,5.02,1.97,5.13,2.33,2.77,4.69,7.59,2.83,2.45,3.57,3.4,6.61,0.9,0.5,3.96,3.1,0.83,2.32,4.23,5.41,2.88,3.7,5.66,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,4.27,2.39,3.13,5.49,1.65,1.38,1.52,4.28,0.79,3.53,1.81,1.98,0.69,4.48,4.16,3.03,1.18,3.91,6.03,4.7,1.19,1.86,2.71,1.08,0.38,3.03,6.58,0.64,4.77,2.55,4.31,2.44,1.16,1,3.09,0.07,3.99,0.11,3.35,2.02,4.72,0.8,1.89,3.98,3.19,0.43,1.37,0.82,2.77,3.13,1.3,1.73,1.7,5.33,5.63,1.1,2.11,3.33,1.98,0.12,3.32,3.86,0.33,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,4.25,0.86,0.73,1.32,2.9,2.57,4.25,1.79,4.46,1.99,0.85,3.38,4.94,0.96,2.4,5.06,3.2,5.39,1.37,2.63,2.92,1.07,4.8,2.23,2.02,3.11,2.32,1.72,0.56,1.09,3.85,3.05,0.25,1.97,1.04,1.54,3.45,2.91,0.87,3.76,3.86,0.28,0.99,2.5,4.27,2.8,0.84,0.41,1.33,0.94,7.43,1.26,1.58,1.4,3.99,4.35,0.69,4.19,1.44,1.51,2.42,1.42,4.43,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,3.25,2.09,3.33,2.43,2.15,2,2.83,1.67,2.69,1.49,4.3,2.38,2.03,2.53,2.38,0.25,3.48,1.39,1.43,1.58,2.04,1.86,2.53,4.13,1.54,3.62,2.83,3.26,2.65,3.89,1.65,1.73,1.04,2.55,2.52,2.47,1.48,2.39,3.98,1.98,2.19,0.02,2.17,2.26,1.32,1.84,0.79,1.8,0.85,3.24,2.63,1.78,1.73,3.73,3.8,2.02,3.09,0.32,0.94,1.49,0.3,0.99,2.68,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.61,4.9,1.89,2.49,1.25,2.25,2.82,3.43,0.36,4.41,2,2.11,1.39,2.03,1.64,1.5,3.02,2.24,3.41,2.41,2.07,1.47,0.59,1.99,2.43,0.86,1.85,4.88,4.33,2.58,1.48,1.74,2.17,1.85,2.89,4.6,2.7,1,0.82,0.64,2.7,1.82,0.66,1.26,2.16,4.79,2.34,0.67,3.16,4.83,2.24,4.48,2.76,1.46,2.94,3.31,2.2,2.12,3.91,0.59,1.98,2.71,1.33,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,2.75,2.42,1.42,4.07,0.8,3.63,3.43,1.03,2.77,2.21,2.17,0.23,3.34,4.85,1.9,5.59,0.79,1.51,0.8,2.66,6.51,1.18,0.71,2.62,0.43,1.01,0.74,2.11,0.06,2.84,2.91,2.85,1.53,0.84,3.29,1.15,2.2,1.18,3.82,2.36,0.68,1.03,3.35,0.58,2.62,0.93,1.77,2.01,3.97,3.36,1.89,3.65,0.54,1.73,1.09,1.9,2.17,4.03,2.67,1.99,1.79,4.61,0.67,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,1.22,0.43,0.87,1.28,2.49,1.49,4.28,3.45,0.44,1.53,2.45,2.69,3.42,3.38,0.11,3.46,0.46,3.82,5.19,1.73,4.17,6.42,1.86,6.65,0.49,4.13,1.44,4.13,2.91,1.79,3.04,2.21,1.5,2.56,4.32,2.97,2.26,1.55,0.69,5.93,2.79,3.05,6,3.03,2.28,1.66,2.69,3.65,1.75,1.16,1.63,1.86,1.86,5.05,1.55,0.98,3.93,3.39,0.9,3.24,5.51,1.71,2.09,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.33,1.62,1.58,3.04,2.75,4.23,4.47,4.14,4.49,2.12,2.38,3.36,2.55,2.92,1.06,6.38,1.66,3.78,3.07,6.33,5.35,2.4,3.07,1.48,1.48,3.43,2.72,5,4.3,1.32,3.6,1.63,2.19,4.37,4.48,1.12,0.84,2.68,2.81,0.38,1.3,2.18,3.48,0.18,4.77,3.85,3.69,2.9,2.01,5.62,0.64,4.51,2.48,5.37,5.81,3.62,4.16,3.22,0.5,5.87,2.82,4.02,0.88,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.9,1.68,3.1,0.73,2.9,1.4,2.52,2.45,2.04,1.07,0.72,2.81,3.8,0.21,1.19,1.7,2.87,1.66,1.94,3.69,2.26,6.03,1.9,0.97,1.23,2.14,3.63,3.95,3.81,1.31,5.97,1.74,0.66,4.16,1.78,4.64,1.79,2.97,3.46,3.21,3.22,1.58,0.8,1.79,0.68,2.11,3.13,2.13,2.58,5.29,1.4,3.29,2.55,4.49,3.17,3.85,3.47,2.98,1.39,3.52,3.49,6.13,0.18,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.22,3.53,2.43,2.79,1.83,2.59,7.15,2.59,1.98,6.06,8.09,1.97,6.21,5.4,2.69,4.51,3.18,3.51,5.93,6.32,5.32,1.74,1.69,2.29,1.31,1.49,5.56,5.57,4.25,3.36,3.11,5.71,5.25,3.01,0.77,5.95,2.62,2.47,4.38,1.78,4.17,2.34,3.26,3.53,1.68,3.97,4.42,4.4,4.34,1.3,0.72,3.3,6.73,1.53,1.01,4.99,3.78,3.68,2.75,1.81,2.69,2.72,3.08,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
