ABINGTON PIGOTTS HALL,,,,,,,,,,,,
Grid ref,TL304446,Long,-0.098328,Lat,52.084402,,,,,,,
Station no,1189,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,1.30,0.91,0.87,1.97,3.20,0.98,2.08,3.55,1.96,,
February,3.26,0.60,2.01,1.62,1.37,0.46,2.06,2.49,0.17,1.59,,
March,3.17,2.90,0.57,1.72,1.24,0.46,0.73,0.91,2.30,1.57,,
April,3.08,1.20,1.67,0.18,0.45,1.06,0.13,0.63,1.72,0.29,,
May,2.40,1.60,1.73,2.33,3.23,0.22,0.57,1.70,0.54,0.95,,
June,1.36,4.00,1.51,1.42,1.65,2.29,1.77,6.49,0.44,1.54,,
July,1.32,0.70,2.39,3.12,0.03,2.55,2.40,2.20,3.38,2.75,,
August,3.40,4.50,2.20,3.73,1.32,4.19,2.11,3.21,1.05,2.32,,
September,2.26,2.80,1.54,1.65,1.45,1.77,2.65,2.33,0.09,4.07,,
October,1.50,1.70,2.15,1.51,2.22,1.39,1.90,1.63,1.07,5.25,,
November,3.56,3.20,1.66,3.40,1.14,1.02,1.67,1.82,1.98,3.88,,
December,1.66,2.10,0.46,2.08,2.04,2.33,2.08,2.49,3.20,3.43,,
Total,29.01,26.60,18.80,23.63,18.11,20.94,19.05,27.98,19.49,29.60,,
Calc annual,29.01,26.60,18.80,23.63,18.11,20.94,19.05,27.98,19.49,29.60,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
