ABINGTON PIGOTTS HALL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1189,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.30,0.97,3.47,2.17,0.88,2.96,0.98,1.40,2.37,4.34,,
February,2.15,0.77,1.15,0.66,1.35,2.22,3.20,0.60,0.65,2.51,,
March,0.75,1.82,2.02,1.89,2.93,1.69,2.98,1.50,0.48,2.48,,
April,2.03,0.72,0.14,1.94,0.66,0.93,1.00,1.50,2.79,3.12,,
May,2.72,0.89,1.79,1.80,1.16,1.64,1.96,2.40,1.74,0.33,,
June,1.28,2.14,3.57,2.07,1.76,0.83,1.83,2.60,0.46,0.94,,
July,1.90,0.22,1.98,1.75,2.80,3.48,1.53,5.40,2.74,2.35,,
August,1.51,1.29,6.35,0.99,1.19,2.83,2.61,3.80,0.13,2.37,,
September,0.85,1.03,1.76,2.16,0.80,1.26,0.95,1.40,5.86,0.89,,
October,2.36,1.86,1.65,2.81,1.89,1.32,2.42,3.00,1.36,0.67,,
November,2.75,2.51,1.86,1.35,2.64,1.98,2.85,1.50,1.66,1.27,,
December,3.77,3.57,2.24,0.94,5.68,3.50,2.07,0.70,1.64,3.69,,
Total,23.37,17.79,27.98,20.53,23.74,24.64,24.38,25.80,21.88,24.96,,
Calc annual,23.37,17.79,27.98,20.53,23.74,24.64,24.38,25.80,21.88,24.96,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
