"PONTELAND (KIRKLEY HALL)",,,,,,,,,,,,
Grid ref,NZ150772,Long,-1.766533,Lat,55.089013,,,,,,,
Station no,3583/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.90,3.43,1.71,1.94,1.99,4.34,,
February,,,,,2.64,2.22,2.49,,0.45,1.96,,
March,,,,,1.96,0.58,1.91,,0.61,1.91,,
April,,,,,0.74,1.07,1.00,,2.14,0.83,,
May,,,1.72,,1.39,0.31,1.96,,0.29,2.33,,
June,,,2.06,,1.87,2.53,1.97,,1.88,0.61,,
July,,,,,1.44,3.15,3.19,,1.76,3.91,,
August,,,,4.67,0.64,7.88,3.60,2.77,0.39,2.84,,
September,,,1.84,3.51,0.95,2.73,2.96,2.31,0.76,2.25,,
October,,,,4.96,1.32,1.83,2.17,1.59,2.04,5.39,,
November,,,,2.99,1.25,0.57,1.62,0.41,4.89,3.06,,
December,,,,1.71,3.38,1.56,1.78,4.29,3.61,2.59,,
Total,,,,,20.48,27.86,26.36,,20.81,32.02,,
Calc annual,0.00,0.00,5.62,17.84,20.48,27.86,26.36,13.31,20.81,32.02,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,NaN,0.00,0.00,,
