STAFFORD-NEWPORT-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ915227,Long,-2.1275178,Lat,52.801788,Elevation,250,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2350/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.97,3.37,3.55,4.19,2.93,2.02,2.86,1.98,5.33,1.31,0.73,2.34,2.66,0.77,1.31,2.52,3.58,,,,
February,,,,,,,,,,2.3,2.84,1.46,1.15,1.63,2.18,4.3,1.84,1.54,0.71,4.11,2.49,0.74,1.7,2.42,1.93,0.63,,,,
March,,,,,,,,,,2.22,2.57,2.21,0.78,0.57,1.23,0.75,5.18,1.15,1.97,0.81,4.18,1.86,1.33,2.22,2.86,1.14,,,,
April,,,,,,,,,,3.17,1.35,1.07,1.15,2.06,1.54,1.72,2.14,2.15,2.16,2.91,2.14,2.72,2.55,0.48,1.62,1.3,,,,
May,,,,,,,,,,1.94,2.81,2.92,2.45,1.05,4,2.18,3.43,1.69,1.44,1.07,2.96,3.14,2.64,1.84,4,0.76,,,,
June,,,,,,,,,,0.73,1.23,0.79,2.3,2.61,2.76,2.96,1.37,4.42,0.44,1.52,1.56,2.44,3.19,3.34,2.8,2.44,,,,
July,,,,,,,,,,2.76,3.3,1.89,1.61,3.44,1.61,2.42,4.07,1.83,1.96,2.13,1.37,2.41,2.82,3.92,0.79,1.84,,,,
August,,,,,,,,,,0.38,3.48,1.56,1.95,1.78,2.88,6.95,0.77,3.76,1.49,4.69,3.81,2.81,2.4,4.97,1.06,3.89,,,,
September,,,,,,,,,,1.09,0.49,1.24,2.78,3.11,2.36,4.05,1.32,2.34,0.77,4.63,2.46,1.93,1.65,2.17,2.67,2.59,,,,
October,,,,,,,,,,3.68,3,2.81,2.26,3.2,4.47,0.39,0.55,2.24,3.98,1.35,0.88,3.98,1.4,4.66,1.44,,,,,
November,,,,,,,,,,7.13,2.76,0.76,2.25,3.83,0.39,5.01,2.57,1.72,2.65,3.33,5.93,1.59,1.66,4.95,2.07,,,,,
December,,,,,,,,,,2.25,1.64,2.93,1.26,1.6,2.4,2.51,2.25,4.29,1.91,2.58,2.54,3.36,1.16,3.69,2.19,,,,,
Total,,,,,,,,,,30.62,28.84,23.19,24.13,27.81,27.84,36.1,27.47,32.46,20.79,29.86,32.66,29.64,23.27,35.97,25.95,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and in near Newport Road. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
