"FALKIRK (WESTBANK) GARDEN",,,,,,,,,,,,
Grid ref,NS883801,Long,-3.792660,Lat,56.000795,,,,,,,
Station no,5343,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.17,3.65,1.51,,,,,,,,,
February,2.79,0.97,1.42,,,,,,,,,
March,2.77,2.46,0.92,,,,,,,,,
April,2.48,1.21,1.99,,,,,,,,,
May,2.06,1.62,1.85,,,,,,,,,
June,2.05,2.75,1.61,,,,,,,,,
July,5.02,3.18,5.08,,,,,,,,,
August,4.89,4.21,2.53,,,,,,,,,
September,2.34,2.23,3.72,,,,,,,,,
October,0.79,2.47,1.88,,,,,,,,,
November,5.03,2.23,5.80,,,,,,,,,
December,5.40,2.81,4.40,,,,,,,,,
Total,40.79,29.79,32.71,,,,,,,,,
Calc annual,40.79,29.79,32.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
