HIGHCLERE-ADBURY-PARK-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU483623,Long,-1.30727,Lat,51.35823,Elevation,350,ft,,,,,,,,,,,,,
Station no,767,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.4,2.7,4.33,2.61,5.88,1.35,4.52,1.95,3.28,2.65,2.43,0.56,5.33,6.11,,5.15,
February,,,,,0.41,4.99,2.17,4.71,1.86,0.57,0.66,2.04,0.14,5.29,0.16,3.99,2.51,5.77,,1.44,
March,,,,,1.17,0.51,0.72,3.87,2.6,0.13,1.02,0.17,2.08,3.81,2.92,0.78,1.99,4.41,,1.48,
April,,,,,3.62,2.54,3.24,2.34,2.01,0.92,2.59,2.98,2.81,1.51,2.14,4.15,2.44,2.99,,3.58,
May,,,,,5.5,4.41,2.48,1.31,1.38,1.93,1.94,2.54,5.3,1.97,0.89,1.51,0.62,3.42,,1.36,
June,,,,,2.98,0.02,2.42,2.89,2.97,1.4,1.87,1.95,1.64,3.99,1.42,4.66,2.59,1.66,,1.87,
July,,,,,5.64,3.14,2.08,3.92,1.7,1.34,2.33,4.28,2.03,2.89,1.83,1.18,4.64,1.2,,5.18,
August,,,,,2.19,2.41,1.09,3.7,2.18,0.77,2.74,3,1.08,0.29,2.97,3.4,0.8,1.02,,2.08,
September,,,,,5.04,3.09,1.02,6.46,1.87,0.55,2.99,1.94,3.42,3.12,2.17,5.41,3.78,2.22,,0.81,
October,,,,,4.42,4.38,2.82,2.92,5.97,3.52,1.65,0.6,5.44,2.46,1.52,4.31,1.55,3.82,,3.79,
November,,,,,3.06,2.28,7.05,3.22,3.4,8.51,4.94,3.75,1.19,0.79,1.98,5.98,3.52,1.43,,5.29,
December,,,,,5.67,3.36,0.43,3.58,3.07,7.96,3.55,0.75,1.83,0.42,8.42,3.82,2.98,2.77,,1.89,
Total,,,,,43.1,33.83,29.85,41.53,34.89,28.95,30.8,25.95,30.24,29.19,28.85,39.75,32.75,36.82,,33.92,
,,,,,,,,,,,,,,,,,,,,,
1925 Jan 1 Gauge blown over 0.80 in interpolated,,,,,,,,,,,,,,,,,,,,,
1931 Total corrected in red ink,,,,,,,,,,,,,,,,,,,,,
1939 Monthly totals seem correct so total corrected,,,,,,,,,,,,,,,,,,,,,
1940 No record received Station terminated,,,,,,,,,,,,,,,,,,,,,
