"NORTH CADBURY RECTORY",,,,,,,,,,,,
Grid ref,ST635272,Long,-2.522011,Lat,51.042986,,,,,,,
Station no,RR2426,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,2.88,1.13,3.18,3.40,0.91,5.14,0.83,1.15,1.50,,
February,4.29,1.00,1.01,1.53,4.21,0.94,2.70,1.03,1.15,0.96,,
March,1.53,2.28,1.92,3.54,1.53,3.44,1.54,0.58,2.88,4.21,,
April,2.52,2.45,1.90,3.57,1.45,2.10,1.23,4.52,2.53,2.01,,
May,2.83,1.52,2.38,2.60,3.06,0.32,4.70,1.58,1.94,0.90,,
June,3.13,0.96,3.59,3.03,0.70,3.69,2.15,2.36,0.29,3.39,,
July,0.90,2.04,1.65,3.00,3.80,0.72,1.40,1.88,1.64,2.90,,
August,2.21,2.82,4.17,3.27,3.27,4.00,2.23,2.28,2.51,2.52,,
September,0.46,2.39,1.24,2.39,2.27,1.45,1.04,0.65,2.61,3.07,,
October,2.76,1.91,2.28,6.40,2.77,2.01,4.47,5.81,2.22,5.50,,
November,2.81,0.64,3.37,1.95,1.73,4.08,2.96,3.26,1.30,0.76,,
December,5.50,6.32,1.94,3.30,3.27,0.90,1.96,4.71,3.30,4.56,,
Total,32.41,27.21,26.58,37.76,31.46,24.56,31.52,29.49,23.52,32.28,,
Calc annual,32.41,27.21,26.58,37.76,31.46,24.56,31.52,29.49,23.52,32.28,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
