RATTRAY HEAD (C. G. STATION),,,,,,,,,,,,
Grid ref,NK093582,Long,-1.846001,Lat,57.613695,,,,,,,
Station no,5659/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.87,2.38,1.92,1.22,1.39,3.84,1.86,4.47,3.89,3.67,,
February,3.37,1.78,1.36,2.44,2.22,1.29,1.59,3.61,0.38,3.29,,
March,3.03,3.00,0.28,1.77,1.74,1.14,2.10,3.21,1.59,1.08,,
April,2.57,1.73,1.98,0.73,1.02,1.34,1.20,1.11,2.14,2.45,,
May,0.61,1.55,2.07,3.59,3.28,0.77,1.24,2.55,1.05,1.12,,
June,1.65,2.82,2.67,3.24,1.34,1.08,3.45,1.28,1.77,1.66,,
July,3.55,2.05,2.61,2.21,0.27,4.10,4.47,3.61,2.55,2.04,,
August,4.35,2.61,2.67,2.17,0.57,1.98,4.26,3.28,1.43,3.67,,
September,0.70,2.84,2.50,2.28,2.16,1.64,2.05,2.02,1.39,2.89,,
October,1.09,2.74,1.56,4.94,3.74,3.79,1.74,2.57,4.72,4.54,,
November,6.08,2.62,2.11,5.14,1.59,2.28,1.57,1.23,5.06,5.53,,
December,2.36,2.21,2.63,3.59,4.61,2.82,3.19,2.96,4.44,2.11,,
Total,32.23,28.33,24.36,33.32,23.93,26.07,28.72,31.90,30.41,34.05,,
Calc annual,32.23,28.33,24.36,33.32,23.93,26.07,28.72,31.90,30.41,34.05,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
