"NEWTON, MEARNS, RENFREWSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 53696 55673,Long,-4.333854,Lat,55.772195,Elevation,360,ft,,,,,,,,,,,,
Station no,RR2794,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,6,5,,6.4,4,9.5,4.5,8.7,6.01,2.87,3.59,8.56,9.26,6.44,7.1,4.45,11.06,5.41,2.15
February,,5,2.1,5.9,,1.4,6.9,5.3,8.8,5.63,3.79,5.05,3.65,1.25,1.84,2.25,4.99,5.93,3.15,1.57
March,,7,5.5,2.6,,2.3,1.8,1,5.9,0.95,-999,4.9,3.71,3.14,5.2,3.03,7.32,2.72,2.41,4.2
April,,0.5,4.6,4.5,1.8,0.6,2.1,6.8,3.9,1.82,2.15,4.14,1.32,0.3,3.59,1.51,2.15,4,2.43,1.57
May,,1.3,4.5,3.5,1.7,4,1,2.8,3.6,1.17,4.31,1.12,3.43,2.94,2.75,3,0.71,2.88,3.49,2.05
June,,2.7,3.2,3.8,3.3,0.6,2,2,1.7,1.98,1.83,1.95,6.55,3.02,1.3,2.86,4.68,4.3,3,5
July,,4.8,6,0.8,3.3,2,3.4,4.2,0.3,2.48,2.34,4.4,4.8,5.49,2.66,1.83,2.92,4.37,0.53,3.3
August,,6.5,4,3.9,1.6,5.3,4.8,4.2,5.3,1.07,2.25,3.45,3.86,5.16,4.83,3.47,5.07,7.9,3.83,5
September,,6.3,3,6.7,6.2,1.1,7.5,5,3,7.7,4.4,2.08,8.76,5.03,6.24,5.97,3.04,2,5.1,5.38
October,,4.7,11.1,5.1,4.8,4.9,3.4,5.7,6.9,1.85,4.5,3.4,4.71,8.01,11.17,5.07,7.03,6.86,5.95,3.09
November,,8.4,3,5.5,4.5,3.7,5.1,1.2,4.3,5.54,1.8,4.06,7.47,3.25,4.88,5.94,4.28,8.85,2.66,1.29
December,,,8.4,8,5.1,4.2,8.3,4.2,8.7,8.81,2.76,5.93,8.14,4.9,4.5,7.07,7.47,7.04,2.79,2.7
Total,,,60.4,,,34.1,55.8,46.9,61.1,45.01,34.32,44.07,64.96,51.75,55.4,49.1,54.11,67.91,40.75,37.3
,,,,,,,,,,,,,,,,,,,,
1863  Ja +T Est,,,,,,,,,,,,,,,,,,,,
1864 F M +T est,,,,,,,,,,,,,,,,,,,,
Location Confidence Med,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
