MINCHINHAMPTON-BOX-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST862998,Long,-2.2010653,Lat,51.696775,Elevation,500,ft,,,,,,,,,,,,
Station no,2151/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.67,4.11,4.41,4.06,6.53,2.7,3.12,3.51,6.48,,,,,,,
February,,,,,2.96,3,5.63,1.09,1.73,2.91,3.55,0.81,1.53,,,,,,,
March,,,,,0.78,2.59,3.84,0.26,1.94,,2.73,2.91,1.18,,,,,,,
April,,,,,5.5,2.66,5.82,0.11,3.84,,1.21,1.19,0.97,,,,,,,
May,,,,,1.47,1.12,1.69,2.8,1.2,2.37,2.13,4.48,,,,,,,,
June,,,,,3.45,1.54,1.45,1.94,2.13,0.57,2.02,0.18,,,,,,,,
July,,,,,0.67,6.05,3.13,2.62,5.71,5.19,1.98,2.07,,,,,,,,
August,,,,,2.02,0.51,0.42,2.83,3.99,0.13,4.15,5.06,,,,,,,,
September,,,,,5.36,3.47,2.92,3.26,1.03,0.98,0.96,2.7,,,,,,,,
October,,,,,4.85,1.61,3.31,4.53,3.93,4,2.58,3.69,,,,,,,,
November,,,,,6.15,4.06,1.95,4.19,6.19,6.64,2.66,1.83,,,,,,,,
December,,,,,3.64,3.72,2.69,3.55,2.4,1.32,2.11,4.13,,,,,,,,
Total,,,,,37.52,34.44,37.26,31.24,40.62,,29.2,32.56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Mar Apr estimated,,,,,,,,,,,,,,,,,,,,
