SOURTON-PREWLEY-TREATMENT-WORKS,,,,,,,,,,
Grid ref,SX548909,Long,-4.05723,Lat,50.70038,Elevation,1057,ft,,
Station no,1664/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.29,1.5,2.53,7.12,6.85,6.89,6.69,9.38,5.73
February,,1.65,3.15,5.64,5.17,0.5,10.19,7.58,0.5,6.72
March,,5.9,1.99,4.85,2.82,3.87,6.87,1.88,6.98,3.68
April,,5.21,4.47,1.49,2.56,1.53,0.39,1.59,5.59,4.17
May,,4.21,4.84,5.33,4.49,1.46,3.11,5.44,1.53,2.82
June,,2.88,3.71,5.4,3.64,3.57,3.57,3.3,2.48,2.5
July,,2.13,5.56,6.92,3.31,5.04,6.01,4.55,3.18,7.55
August,,9.83,3.75,4.89,0.74,6.12,5.18,6.96,2.18,4.74
September,,5.36,5.9,5.83,3.73,8.32,7.17,7.73,0.52,9.28
October,,6.06,5.44,6.78,3.86,3,5.21,6.4,8.58,11.05
November,10.98,6.79,5.42,11.1,6.91,3.51,3.21,5.62,11.86,9.7
December,5.91,4.87,2.08,6.18,9.13,8.29,5.68,6.82,13.51,7.68
Total,,61.18,47.81,66.94,53.48,52.06,63.48,64.56,66.29,75.62
,,,,,,,,,,
,,,,,,,,,,
1958 Not printed Over exposed,,,,,,,,,,
Had been surrounded by turf wall but in 1959 it was removed on engineers instructions,,,,,,,,,,
,,,,,,,,,,
Post 1960 called Prewley W WKS SRC_ID 8611,,,,,,,,,,
