CAMDEN SQUARE (float),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ294844,Long,-0.135379,Lat,51.54367,Elevation,111,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.43,2.03,3.5,2.44,1.2,3.23,0.95,4.77,1.38,2.81,,,,,,,,,,,2.51,1.82,0.53,1.47,2.91,2.01,0.79,2.05,0.74,2.52,2.89,0.57,0.74,2.12,2.29,1.33,3.96,0.89,1.91,0.67,1.54,1.36,4.1,2.55,0.54,4.17,1.28,1.25,2.84,3.2,2.58,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.22,1.27,0.96,2.03,0.92,1.11,1.96,1.79,1.52,3.82,,,,,,,,,,,1.09,0,1.61,2.92,1.76,0.14,0.3,2.8,1.1,2,3.9,1.17,1.13,0.82,2.55,0.76,1.84,1.15,1.68,0.46,2.9,1.46,1.67,0.79,2.35,3.43,3.45,0.9,1.06,2.66,0.54,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.26,1.15,2.56,1.48,0.48,0.71,2.98,2.38,1.11,0.9,,,,,,,,,,,1.82,1.93,1.08,0.31,1.18,1.42,3.23,3.45,1.43,0.5,0.76,2.1,1.85,2.27,1.69,2.95,1.03,0.93,2.35,2.78,0.95,1.71,2.77,2.24,4.44,0.83,4.64,1.68,1.05,3.59,1.4,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.44,2.78,1.3,0.58,1.23,1.52,1.9,2.5,4.6,2.67,,,,,,,,,,,1.99,1.13,0.99,0.2,1.74,1.36,0.53,1.55,1.01,2.59,0.95,2.06,0.44,2.11,0.94,1.75,0.46,3.19,2.35,1.84,2.14,1.76,0.03,2.64,0.84,1.1,1.31,2.18,3.15,3.75,3.03,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,0.65,0.86,3.04,1.57,1.15,1.64,0.93,1.87,3.87,3.5,,,,,,,,,,,1.21,2.78,1.53,0.75,1.84,0.29,0.12,1.03,2.23,1.31,0.88,0.79,2.52,2.82,1.93,1.12,1.04,1.68,1.9,1.78,2.15,1.74,1.05,1.63,1.69,3.64,1.85,1.96,2.05,0.29,0.64,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.77,3.46,2.53,2.29,2.09,2.72,1.23,0.35,6.43,4.78,,,,,,,,,,,2.85,0.85,2.42,0.7,1.82,0.39,2.28,1.83,1.07,1.46,2.17,1.21,3.06,6.37,0.78,4.32,2.82,1.97,1.23,3.73,2.06,2.63,3.09,0.57,1.09,0.66,2.09,5.11,1.22,1.47,1.53,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.17,4.16,2.6,1.78,0.91,4.5,0.8,3.9,0.57,4.18,,,,,,,,,,,4.17,3.76,1.62,2.44,3.22,3.44,1,0.6,1.05,1.4,1.4,4.95,1.33,5.08,2.31,0.92,0.58,1.91,3.32,3.43,2.45,1.12,1.39,2.23,1.21,4.02,1.66,4.06,4.72,1.71,3.99,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.61,0.84,2.05,2.87,1.32,1.79,1.76,2.19,6.44,5.1,,,,,,,,,,,1.57,4.64,3.03,1.57,2.84,3.08,1.91,2.84,1.13,0.66,2.74,1.77,3.65,4.17,1.56,2.23,0.81,1.89,2.88,1.4,1.55,0.45,4.8,1.38,1.19,2.24,5.55,3.86,1.72,2.35,1.71,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.9,5.18,1.6,2.45,2.43,2.86,2.88,0.88,0.82,3.67,,,,,,,,,,,0.65,1.05,2.12,1.06,1.03,1.36,5.5,2.71,0.31,2.6,0.79,1.6,0.96,2.6,1.15,2.08,1.67,0.6,1.27,2.47,0.56,1.3,2.15,1.73,0.95,1.84,1.45,2.26,5.64,1.25,3.2,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.6,1.3,5.15,2.98,3.35,4.35,1.4,2,1.95,0.82,,,,,,,,,,,1.21,4.76,3.82,3.88,4.47,2.87,3.05,0.57,2.91,2.04,1.83,1.89,1.44,5.96,1.57,1.38,3.11,2.48,1.98,4.11,1.96,3,2.01,3.02,1.2,2.01,3.22,3.23,1.16,0.67,1.07,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
