CAMDEN SQUARE (Negretti 5 inch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ294844,Long,-0.135379,Lat,51.54367,Elevation,111,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.63,,,,,,,,,,,,2.77,0.3,1.79,1.3,2.07,2.28,1.47,4.17,1.38,0.99,0.82,2.51,1.83,0.52,1.47,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.37,,,,,,,,,,,,3.82,2.31,3.15,1.28,3.59,1.36,2.81,0.65,0.47,0.82,2.26,1.09,0.03,1.62,2.95,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,2.46,,,,,,,,,,,,0.89,0.73,2.25,1.32,0.8,1.41,1.61,1.35,1.67,3.3,1.39,1.85,2.04,1.08,0.31,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.43,,,,,,,,,,,,2.71,2.16,0.45,2.83,1.53,0.95,2.27,1.18,1.31,2.36,2.05,2.03,1.15,0.99,0.22,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,2.45,,,,,,,,,,,,3.48,0.2,1.38,1.11,1.86,0.67,2.59,4.85,1.44,1.18,3.27,1.27,2.73,1.52,0.83,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.22,,,,,,,,,,,,4.81,4.02,1.61,2.32,1.28,2.85,1.93,0.59,0.9,2.32,2,2.93,0.88,2.47,0.67,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,4.21,,,,,,,,,,,0.55,4.13,5.06,1.73,2.91,2.85,2.55,0.44,2.44,0.98,4.9,2.7,4.28,3.85,1.66,2.5,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.73,,,,,,,,,,,6.54,5.08,0.39,4.94,1.47,0.87,0.8,0.76,0.74,3.15,3.73,1.81,1.61,4.77,3,1.63,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.29,,,,,,,,,,,0.8,3.69,4.1,2.02,2.41,3.75,1.75,4.26,1.81,1.88,1.48,1.77,0.67,1.09,2.23,1.08,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.02,,,,,,,,,,,1.95,0.77,5.85,3,5.02,1.74,0.96,3.69,2.4,1.24,1.28,3.79,1.22,4.81,3.85,3.91,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,0.92,,,,,,,,,,,3,0.69,1.86,2.74,2.59,2.81,1.92,3.35,2.72,3.48,4.42,0.9,1.7,2.02,2.67,2.25,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,1.7,,,,,,,,,,,1.46,0.83,3.22,2.48,2.54,0.74,2.59,1.06,4.17,1.38,1.35,1.27,0.57,3.26,1.37,2.26,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,26.43,,,,,,,,,,,,33.67,30.2,27.54,27.1,23.89,20.09,26.24,27.07,19.28,28.13,24.03,21.73,28.46,22.98,20.08,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
