COBHAM-CROSSWAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ6589667954,Long,0.38276382,Lat,51.386386,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,395/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.13,1.72,2.37,1.39,5.39,5.58,2.52,4.77,2.43,2.98,2.41,5.09,1.58,2.93,1.89,1.9,3.33,1.01,1.19,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.43,2.26,0.75,4.02,1.81,4.33,1.05,1.45,1.98,2.36,1.36,1.5,1.04,1.61,2.93,1.49,1.62,1.16,4.95,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.53,3.01,2.83,0.4,1.1,3.96,0.46,1.7,3.77,2.48,3.01,0.43,0.07,1.69,1.39,4.67,0.81,0.5,1.54,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.22,0.76,2.78,3.75,1.83,2.3,0.69,2.44,1.62,2.11,1.26,1.23,1.54,1.13,1.94,1.83,1.64,1.47,2.31,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,3.13,2.32,0.38,1.65,0.39,2.84,1.86,2.04,1.17,1.64,3.07,3.49,0.5,2.33,4.26,1.51,2.04,1.6,1.57,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.85,1.87,1.5,2.84,3.58,3.39,0.5,1.14,0.52,2.81,0.35,1.91,1.13,1.23,1.91,2.12,2.96,1.1,1.37,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.16,3.41,1.1,0.81,3.39,0.95,1.1,1.86,3.86,2.02,2.32,1.47,2.12,4.01,1.54,2.2,0.94,0.71,2.32,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.88,0.57,1.97,2.83,0.9,0.86,1.81,4.08,0.03,3.51,1.98,1.27,3.42,2.12,5.19,0.13,3.96,1.93,1.63,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.58,3.76,1.33,3.86,2.36,1.71,2.94,1.29,1.02,0.31,3.08,1.96,2.75,0.8,2.82,2.11,1.62,1.23,2.5,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,5.58,1.45,1.8,3.3,2.06,2.49,2.7,7.47,3.3,0.95,3.13,2.39,4.54,2.88,1.63,0.21,1.99,7.05,0.27,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.07,0.9,1.28,2.8,5.29,4.17,1.64,2.62,4.61,7.14,3.03,1.73,1.4,4.92,0.46,4.84,0.92,1.19,2.91,5.76,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
