LESMAHAGOW AUCHTYFARDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 81816 41079,Long,-3.87959,Lat,55.64883,Elevation,578,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,7.65,4.23,3.4,3.29,4.94,4.28,4.89,10.49,0.94,6.21,2.55,6.37,4.73,5.4,1.83,4.21,5.19,7.08,3.53,2.06,0.69,,,,,,,,,
February,,0.42,3.28,4.01,0.56,4.62,3.49,1.8,4.81,1.49,0.43,2.97,0.1,3.55,0.38,5.03,2.33,4.09,1.49,4.92,1.2,3.09,,,,,,,,,
March,,5.98,1.84,1.36,0.86,1.79,2.92,2.77,2.17,0.71,2.17,0.9,2.4,2.71,2.56,1.62,1.94,1.43,2.6,3.43,3.87,2.79,,,,,,,,,
April,,0.96,1.86,3.64,1.89,5.32,2.08,2.14,1.35,1.52,1.23,1.94,3.03,1.43,3.49,3.17,1.03,1.51,0.53,1.67,2.91,1.3,,,,,,,,,
May,,2.35,3.01,2.08,4.32,5.72,2.79,2.05,1.76,2.79,1.1,3.11,2.41,2.84,2.56,0.84,1.25,1.47,3.52,0.5,0.92,4.19,,,,,,,,,
June,,0.5,1.66,1.36,1.61,0.33,2.31,3.85,4.47,2.13,2.45,5.13,2,1.81,2.12,3.89,1.84,2.05,4.26,1.76,0.84,0.94,,,,,,,,,
July,,3.09,3.61,3.6,3.19,1.44,2.66,6.6,2.62,3.72,3.62,4.44,2.83,4.49,2.77,1.47,3.71,3.87,4.23,2.65,4.88,3.86,,,,,,,,,
August,,7.21,2.04,5.46,3.38,3.06,3.57,5.51,3.78,5.82,4.58,1.91,1.09,2.33,3.96,1.44,2.02,3.92,3.37,1.52,1.82,5.15,,,,,,,,,
September,,2.5,1.6,5.18,4.78,3.35,3.23,6.18,2.99,0.88,3.45,1.04,4.49,0.94,3.67,5.47,3.52,2.48,3.21,1.9,4.42,0.94,,,,,,,,,
October,,3.45,1.71,5.3,2.87,3.57,5.18,4.99,5.76,5.18,4.96,3.21,5.4,3.13,6.72,8,4.6,4.38,7.51,1.49,4.22,3.42,,,,,,,,,
November,,1.69,2.16,4.26,1.93,1.03,5.73,4.55,4.44,5.72,5.05,5.95,3.62,1.36,1.21,5.93,3.78,0.81,8.28,8.42,4.72,2.4,,,,,,,,,
December,,6.19,3.46,3.1,5.02,4.03,1.51,0.93,3.78,9.26,2.88,4.03,8.09,0.66,4.23,1.91,4.94,2.06,2.53,1.98,4.77,2.47,,,,,,,,,
Total,,41.99,30.46,42.75,33.7,39.2,39.75,46.26,48.42,40.16,38.13,37.18,41.83,29.98,39.07,40.6,35.17,33.26,48.61,33.77,36.63,31.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Estd Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,654420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
