WATTON-OVINGTON-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TF924025,Long,0.83863254,Lat,52.586247,Elevation,169,ft,,,,,,,,,,,,
Station no,RR6659,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,1.1,2.55,1.69,2.89,1.95,,0.14,1.1,1.61,,,,,,,
February,,,,,0.89,1.18,3.97,2.65,1.34,,1.93,3.3,1.61,,,,,,,
March,,,,,1.07,0.46,2.26,2.13,0.7,0.85,0.82,1.64,1.39,,,,,,,
April,,,,,0.91,0.81,3.53,2.26,1.49,2.18,1.89,0.93,2.83,,,,,,,
May,,,,,0.94,1.37,0.57,1.52,4.02,2.06,0.5,0.78,1.64,,,,,,,
June,,,,,1.89,1.83,1.99,1.79,2.02,4.46,4.3,1.03,3.23,,,,,,,
July,,,,2.25,1.04,5.9,2.35,3.21,1.52,5.14,4.93,2.31,1.84,,,,,,,
August,,,,2.83,2.25,1.61,1.73,3.62,4.94,4.28,1.51,4.27,1.93,,,,,,,
September,,,,2.49,3.27,2.19,4.46,3.05,1.42,3.22,3.57,2.23,2.52,,,,,,,
October,,,,2.4,1.65,3.3,0.96,2.19,2.85,1.12,4.63,2.37,5.14,,,,,,,
November,,,,1.39,2.46,5.21,2.64,2.33,5.88,1.72,1.94,2.09,3.14,,,,,,,
December,,,,1.76,2.25,1.61,3.27,1.96,1.88,0.77,2.57,2.41,,,,,,,,
Total,,,,,19.72,28.02,29.42,29.6,30.01,,28.73,24.46,,,,,,,,
