MANCHESTER STRETFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ800948,Long,-2.3026125,Lat,53.449578,Elevation,87,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.63,2.25,3.77,3.95,1.77,4.59,2.08,1.45,1.13,3.07,2.29,3.28,1.44,2.21,2.86,1.05,1.73,1.77,3.63,4.24,2.08,2.41,,,,,,,
February,,5.04,2.05,1.54,1.77,2.41,0.76,0.5,0.95,1.92,0.44,0.2,2.5,3.28,4.02,0.34,2.11,2.48,2.03,1.12,2.98,1.44,1.19,,,,,,,
March,,3.6,2.05,0.97,1.86,2.01,2.08,1.61,1.42,2.34,2.49,1.65,1.12,0.56,2.57,3.01,3.56,2.53,0.98,1.8,0.7,2.12,1.6,,,,,,,
April,,1.12,3.42,1.76,0.61,1.21,1.58,1.24,1.66,2.17,0.78,2.37,1.1,0.68,1.91,1.86,1.65,2.45,2.17,2.85,2.09,2.11,2.33,,,,,,,
May,,3.67,1.76,0.79,1.33,1.88,5.16,2.13,0.7,2.38,1.99,2.51,3.17,1.83,1.9,0.76,0.5,1.89,3.28,2.63,1.78,0.88,3.26,,,,,,,
June,,1.92,6.51,3.68,0.84,3.06,1.88,1.14,2.81,1.03,3.21,2.65,3.98,1.15,3.02,2.15,2.95,3.6,2.62,2.19,3.17,2.17,1.43,,,,,,,
July,,2.72,6.14,2.75,2.77,1.22,4.69,1.01,5.46,2.85,2.8,2.23,3.16,2.36,3.54,5.1,2.01,1.62,0.77,1.42,2.6,3.1,2.22,,,,,,,
August,,5.31,2.9,2.94,1.86,1.26,2.58,1.15,2.86,5.16,4.01,5.32,4.58,2.65,3.91,3.08,2.69,2.84,5.67,1.46,5.4,1.6,3.07,,,,,,,
September,,2.19,1.6,5.13,2.95,4.63,3.37,3.53,1.42,2.47,0.68,3.1,3.96,3.21,1.21,1.66,5.95,3.97,0.58,5,1.27,0.86,1.1,,,,,,,
October,,2.57,3.35,5.16,1.98,5.65,4.78,2,1.64,2.41,2.38,3.88,4.04,3.16,3.59,3.33,3.91,2.04,3.48,3.32,4.99,2.92,3.74,,,,,,,
November,,2.69,5.16,3.13,1.58,2.75,2.07,1,4.57,2.01,5,2.56,2.48,2.08,1.8,2.95,1.27,4.55,1.99,1.14,1.92,3.36,1.68,,,,,,,
December,,3.78,3.69,2.33,3.31,2.19,4.14,2.23,2.18,2.26,0.46,5.31,2.21,3.36,2.45,3.85,3.56,3.34,3.71,2.73,4.37,4.41,2.3,,,,,,,
Total,,35.24,40.88,33.95,24.81,30.04,37.68,19.62,27.12,28.13,27.31,34.07,35.58,25.76,32.13,30.95,31.21,33.04,29.05,29.29,35.51,27.05,26.33,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR based upon distance/direction from St Matthews church as on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
