HURLESTON,,,,,,,,,,
Grid ref,SJ621552,Long,-2.567392,Lat,53.092654,Elevation,200,ft.,,
Station no,2764/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,1.21
April,,,,,,,,,,1.53
May,,,,,,,,,,1.8
June,,,,,,,,,,3.07
July,,,,,,,,,,3.15
August,,,,,,,,,,3.59
September,,,,,,,,,,3.5
October,,,,,,,,,,4.38
November,,,,,,,,,,4.14
December,,,,,,,,,,2.56
Total,,,,,,,,,,
,,,,,,,,,,
MIDAS src_id 11797 HURLESTON W WKS Start 1960 and still current,,,,,,,,,,
"NGR is from the 1950s record and is beside Hurleston Reservoir and the observer is a Water Company. No altitude on record, OS figure used.",,,,,,,,,,
