DARTMOOR LEE MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX573628,Long,-4.011249,Lat,50.447642,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1641/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9,4.13,7.85,7.96,5.38,11.5,11.33,9.68,9,9.16,3.99,6.83,16.38,11.15,9.47,12.2,3.11,12.75,4.06,8.62,1.62,5.6,3.9,7.95,7.1,,,,,,,,2.64,4.42,6.88,7.91,3.37,4.82,2.33,9.13,9.18,5.06,3.86,6.48,10.04,3.22,11.42,3,3.47,3.05,6.73,2.83,7.43,,3.77,6.33,5.29,3.48,5.9,10.27,14.61,11.22,9.73,5.5,9.66,8.54,10.21,8.07,15.32,5.29,11.99,7.94,8.24,4.42,7.6,2.13,9.41,9.46,9.1,8.39,3.68,5.66,7.31,11.7,6.71,4.67,6.7,7.22,13.32,2.96,2.81,7.89,6.13,2.03,3.44,8.56,6.43,6.78,7.36,,,,
February,3,6.36,2.2,2.66,3.54,6.9,7.25,5.49,3.15,8.78,3.36,4.85,8.88,5.03,6.03,1.58,8.97,4.47,4.1,8.18,7,8.09,4.14,10.05,6.65,5.38,,,,,,,4.48,8.85,5.38,0.12,1.24,6.75,3.23,6.45,9.49,1.65,2.85,3.7,9,1.8,6.7,3.23,4.38,0.74,9.15,5.28,8.32,,9.72,12.04,7.68,2.56,5.41,8.51,2.13,0.41,8.33,13.99,2.25,7.95,5.99,4.73,5.9,3.59,3.43,7.64,0.12,6.38,0.4,6.66,6.42,12.77,2.57,4.22,7.6,7.21,0.69,2.95,2.23,6.27,6.18,1.39,2.89,3.41,10.05,6.51,1.22,2.73,7,4.92,0.51,8.65,6.15,,,,
March,5.85,8,9.5,3.6,3.22,4.34,5.5,11.2,5.48,3.91,6.29,3.23,8.58,6.04,2.45,2.02,5.82,5.45,2.75,1.47,3.66,7.63,2.84,2.44,6.5,3.87,,,,,,,2.05,1.55,3.88,5,6.66,7.69,2.21,1.45,3.25,4.85,4.1,8.67,3.43,9.09,2.3,2.17,6.44,8.47,1.26,5.29,9.45,,11.79,2.28,4.93,5.25,3.87,10.55,7,5.99,8.04,4.17,2.57,1.18,1.65,6.53,9.94,1.35,5.27,2.56,3.89,7.1,5.7,2.08,6.49,6.66,0.98,2.21,5.43,5.73,6.37,1.74,0.22,3.14,3.4,11.27,3.13,2.49,5.28,7.29,7.26,1.09,6.02,2.16,2.43,6.84,3.52,,,,
April,2.81,1.31,6.03,3.03,1.88,1.13,3.3,4.92,5.28,2.92,0.3,10.5,3.12,0.91,3.91,2.65,5.86,8.19,6.53,4.65,4.06,1.9,8.61,1.75,2.57,6.38,,,,,,,2.01,1.02,4.25,4.65,0.87,6.65,3.19,5.55,2,6.01,3.27,2.69,3.21,4.07,1.54,8.22,4.41,3.37,4.19,3.02,0.44,,3.73,2.69,2.58,2.92,2.2,4.94,8.51,1.87,6.65,5.33,5.82,5.57,3.25,3.59,3.51,1.36,7.53,6.25,6.34,6.43,5.4,8.51,3.18,5.36,0.18,3.86,4.13,1.32,2.45,1.91,3.89,1.48,2.72,4.67,3.15,3.46,3.55,3.64,4.85,3.8,1.07,2.94,1.74,0.77,1.39,,,,
May,6.53,0.47,3.47,3.97,1.4,4.19,2.1,5.23,3.7,7.73,3.25,0.4,2.61,2.57,0.9,3.73,0.48,6.43,7.06,4.36,1,2.13,2.05,4.99,2.36,,,,,,,,1.5,2.68,4.28,1.06,0.15,3.14,4.4,3.53,3.02,2.37,2.63,4.22,5.43,1.23,6.77,4.83,3.75,1.83,3.59,1.6,2.68,,3.26,4.39,2.74,2.76,2.35,3.42,3.92,7.57,3.27,3.89,7.56,7.02,3.8,1.2,2.55,5.72,4.3,5.3,7.4,3.04,2.4,2.69,1.02,4.99,5.42,1.12,2.26,3.82,8.08,5.41,0.96,4.58,6.52,3.75,2.85,4.6,2.27,3.26,2.89,5.78,4.7,6.35,1.77,3.42,5.44,,,,
June,12.58,5.75,4.8,6.55,4.01,1.45,4.9,1.9,1.5,0.67,0.68,4.44,7.69,3.78,2.56,6.75,3.01,2.88,5.83,13.38,4.19,5.9,6.24,8.09,1.56,3.6,,,,,,,3.03,1.8,3.5,2.81,2.59,3.55,2.78,2.43,6.41,3.28,3.97,1.72,2.33,3.54,2.23,5.95,1.05,3.32,2.78,4.11,7.08,,1.77,3.31,5.15,5.33,2.46,1.57,4.65,0.31,2.89,1.19,3.7,0.02,5.45,5.34,5.18,4.33,2.63,7.55,5.23,3.71,4.9,7.11,2.14,1.91,2.42,5.03,1.15,3.06,0.53,3.45,5.36,8.18,7.11,4.64,3.49,1.59,1.92,1.8,2.65,6.45,6.21,4.11,4.46,3.78,3.96,,,,
July,4.36,9,5.84,1.93,2.84,4.84,2.96,7.15,0.43,2.45,1.7,10.2,5.21,6.22,2.56,7.68,3.3,6.96,2.92,8.74,5.86,3.95,7.44,5.62,6.49,1.4,,,,,,,2.41,7.69,6.47,6.13,3.46,1.21,0.75,2.54,2,1.87,3.56,6.84,8.03,1.7,2.32,2.94,4.02,6.34,5.62,1.25,3.82,,8.11,6.89,2.55,4.15,6.81,2.73,9.94,3.09,10.54,2.06,8.13,5.21,2.55,7.07,3.57,4.74,6.38,8.98,5.14,5.71,1.3,1.51,10.5,4.75,5.45,10.21,4.78,1.92,3.28,3.4,7.11,3.55,5.82,4.46,3.2,3.82,7.87,2.05,2.12,6.38,6.65,1.29,7.09,7.07,6.44,,,,
August,9.8,3.28,4.86,5.46,1.58,8.46,6.84,2.9,5.96,1.48,1.73,3.64,2.38,8.62,6.28,6.31,6.93,8.8,8.99,9.76,1.08,8.42,6.16,3.09,2.58,1.9,,,,,,,7.96,3,4.95,5.64,3.79,8.1,5.13,2.15,5.06,4.42,4.29,6.52,4.54,7.32,4.62,4.3,5.89,3.41,9.08,4.13,14.54,,5.56,2.47,5.74,7.89,4.14,5.62,3.36,6.89,7.06,5.34,7.22,7.1,3.25,7.25,3.94,7.66,10.68,7.06,2.51,3.15,6.1,3.51,1.62,1.21,7.24,4.37,0.35,8.29,6.81,5.83,4.51,4.1,8.27,1.31,6.7,2.84,9.12,9.92,6.94,3.72,5.1,0.14,7.35,6.04,8.55,,,,
September,4.78,6.04,6.6,7.13,6.42,0.13,16.24,3.79,6.4,8.1,3.49,7.82,5.91,3.17,9.7,8.08,10.11,3.58,4.19,8.4,6.35,3.93,6.21,9.57,4.39,8.32,,,,,,,3.41,4.7,3.59,1.1,8.69,4.41,2.68,3.23,2.5,5.65,2.59,5.69,4.78,2.7,1.71,3.05,4.02,2.72,0.46,3.19,2.24,,5.24,1.69,3.3,4.49,12.63,4.72,3.82,2.2,6,5.01,7.6,6.75,1.81,9.43,2.1,1.71,11.32,3.33,8.03,2.55,6.8,8.12,4.61,5.06,3.51,0.62,2.54,0.53,5.42,6.41,4.42,4.68,10.58,3.36,5.1,4.64,10.41,7.45,4.32,4.36,7.94,2.96,8.67,6.94,9.14,,,,
October,5.25,5,12.4,8.84,3.2,11.5,3.3,8.61,8.25,3.42,7.75,7.45,8.51,4.76,11.05,10.49,5.89,6.29,5.95,3.23,7.55,6.06,9.1,5.36,1.76,9.37,,,,,,,7.35,6.21,8.21,6.02,6.02,2.12,9.32,5.25,3.96,4.7,5.32,13.28,3.62,2.91,8.33,10.66,3.43,13.8,8.91,7.42,8.44,,4.93,7.43,12.3,10.32,5.75,4.01,8.09,2.67,3.45,10.02,10.7,8.25,4.32,5.87,13.53,9.96,9.22,1.85,12.98,6.45,6.7,8.61,3.24,4.45,7.66,7.33,4.69,2.99,5.1,6.05,7.25,6.74,3.92,2.87,7.09,11.36,3.33,1.27,6.91,5.1,8.15,4.03,3.34,5.2,6.53,,,,
