"LEE MOOR CLAY WORKS",,,,,,,,,,,,
Grid ref,SX577626,Long,-4.005543,Lat,50.445942,,,,,,,
Station no,1641/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.18,5.06,3.86,6.48,10.04,3.22,11.42,3.00,3.47,3.05,,
February,9.49,1.65,2.85,3.70,9.00,1.80,6.70,3.23,4.38,0.74,,
March,3.25,4.85,4.10,8.67,3.43,9.09,2.30,2.17,6.44,8.47,,
April,2.00,6.01,3.27,2.69,3.21,4.07,1.54,8.22,4.41,3.37,,
May,3.02,2.37,2.63,4.22,5.43,1.23,6.77,4.83,3.75,1.83,,
June,6.41,3.28,3.97,1.72,2.33,3.54,2.23,5.95,1.05,3.32,,
July,2.00,1.87,3.56,6.84,8.03,1.70,2.32,2.94,4.02,6.34,,
August,5.06,4.42,4.29,6.52,4.54,7.32,4.62,4.30,5.89,3.41,,
September,2.50,5.65,2.59,5.69,4.78,2.70,1.71,3.05,4.02,2.72,,
October,3.96,4.70,5.32,13.28,3.62,2.91,8.33,10.66,3.43,13.80,,
November,7.55,0.95,8.35,4.38,3.12,9.05,5.30,5.68,3.05,1.90,,
December,11.36,10.82,4.94,8.33,6.73,2.50,4.35,8.12,6.79,11.30,,
Total,65.78,51.63,49.73,72.52,64.26,49.13,57.59,62.15,50.70,60.25,,
Calc annual,65.78,51.63,49.73,72.52,64.26,49.13,57.59,62.15,50.70,60.25,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
