EDINBURGH ROYAL BOTANIC GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT247747,Long,-3.207664,Lat,55.959391,Elevation,74,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.33,1.85,0.79,0.78,0.87,3.6,2.98,2.1,,,,,,,,,,,,,,,2.8,2.04,3.9,0.6,2.71,1.96,2.66,2.13,2.7,1.08,3.7,2.06,3.19,3.21,1.26,1.66,3.12,2.14,1.69,3.08,1.45,2.2,4.99,2.12,1.32,2.92,2.07,0.3,2.36,1.57,1.43,3.16,0.91,0.47,2.85
February,,,,,6.7,0.46,0.81,1.29,0.94,1.43,3.01,1.35,,,,,,,,,,,,,,,2.88,1.07,2.9,0.99,0.45,1.67,0.17,1.42,0.56,1.42,2.19,2.98,0.28,1.26,1.02,2.61,1.18,1.46,0.79,2.61,1.86,1.26,2.23,1.24,2.08,1.98,0.49,0.53,1.38,1.33,1.7,2.85,1.83,0.33,2.17
March,,,,,1.48,2.3,1.55,2.6,1.24,1.92,1.39,1.57,,,,,,,,,,,,,,,1.54,1.47,1.96,0.25,1.8,1.59,2.55,0.75,2.69,0.97,1.55,1.83,0.5,2.61,2.62,3.19,1.1,1.51,0.43,0.9,1.4,3.69,0.84,0.92,1.96,2.59,0.99,0.45,1.35,1.44,1.19,1.83,2.29,0.38,1.39
April,,,,,1.67,1.08,1.06,0.8,1.92,2.58,1.38,1.32,,,,,,,,,,,,,,,1.48,1.44,0.6,1.47,1.2,2.1,1.7,1.59,3.98,2.84,1.11,1.04,0.06,1.42,1.92,1.27,1.42,0.97,2,1,0.27,3.29,1.45,0.78,2.02,2.4,1.27,1.99,1.97,0.43,0.67,0.62,1.51,1.81,0.72
May,,,,,2.8,1,0.58,1.27,1.98,3.77,1.11,1.93,,,,,,,,,,,,,,,3.41,1.87,1.23,1.69,1.01,2.86,2.79,1.48,1.12,0.7,0.69,2.15,4.18,0.73,1.15,3.09,1.7,3.6,2.04,3.65,2.15,2.96,2.93,1.66,1.68,3.21,1.59,1.69,4.36,1.72,0.47,1.65,2.12,0.43,1.65
June,,,,,2.56,2.56,3.36,3.73,1.37,1.46,3.26,2.02,,,,,,,,,,,,,,,2.17,3.58,4.07,1.79,1.55,4.4,1.12,1.57,2.33,2.1,1.01,1.13,2.75,1.15,0.61,0.8,0.87,2.15,1.76,1.66,1.84,2.9,3.94,0.87,1.86,2.2,1.97,1.35,2.56,0.77,2.19,1.3,3.05,1.93,1.25
July,,,,,2.54,4.9,4.31,1.88,1.35,3.18,3.15,1.49,,,,,,,,,,,,,,,2.58,3.15,1.84,2.07,4.21,4.07,1.7,4.47,2.36,0.73,3.43,4.91,2.58,2.2,8.11,3.36,3.39,1.7,2.59,3.05,3.38,1.58,1.85,2.3,3.88,4.19,2.37,4.85,2.3,1.29,4.89,4.06,7.15,2.32,2.76
August,,,,,3.38,4.64,1.73,3.4,3.54,0.7,4.85,3.55,,,,,,,,,,,,,,,1.9,7.36,3.74,4.17,6.12,4.95,0.29,0.72,3.18,2.05,1.49,4.8,1.24,0.95,0.67,2.74,2.12,3.68,2.56,2.23,3.02,0.02,7.46,2.91,2.59,5.07,3.83,1.85,3.98,0.95,5.76,2.69,3.3,0.34,4.11
September,,,,,0.45,0.7,3.67,1.54,2.31,3.52,1.77,0.9,,,,,,,,,,,,,,,4.17,7.14,1.99,0.29,3.65,1.38,2.33,1.79,1.67,2.83,2.98,0.99,2.15,2.37,2.22,0.94,2.3,1.41,4.49,4.55,3.37,1.69,2.69,1.88,4.91,0.89,1.82,2.18,2.65,1.31,3.69,1.45,2.43,0.57,1.05
