"EDINBURGH ROYAL BOTANIC GARDENS",,,,,,,,,,,,
Grid ref,NT247755,Long,-3.207888,Lat,55.966577,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.98,2.10,,,,,,,,,,
February,3.01,1.35,,,,,,,,,,
March,1.39,1.57,,,,,,,,,,
April,1.38,1.32,,,,,,,,,,
May,1.11,1.93,,,,,,,,,,
June,3.26,2.02,,,,,,,,,,
July,3.15,1.49,,,,,,,,,,
August,4.85,3.55,,,,,,,,,,
September,1.77,0.90,,,,,,,,,,
October,4.22,1.63,,,,,,,,,,
November,5.02,2.73,,,,,,,,,,
December,4.08,3.04,,,,,,,,,,
Total,36.22,23.63,,,,,,,,,,
Calc annual,36.22,23.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
