"EDINBURGH (ROYAL BOTANIC GDNS)",,,,,,,,,,,,
Grid ref,NT247747,Long,-3.207664,Lat,55.959391,,,,,,,
Station no,5144,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,2.07,0.30,2.36,1.57,1.43,3.16,0.91,0.47,2.85,,
February,1.98,0.49,0.53,1.38,1.33,1.70,2.85,1.83,0.33,2.17,,
March,2.59,0.99,0.45,1.35,1.44,1.19,1.83,2.29,0.38,1.39,,
April,2.40,1.27,1.99,1.97,0.43,0.67,0.62,1.51,1.81,0.72,,
May,3.21,1.59,1.69,4.36,1.72,0.47,1.65,2.12,0.43,1.65,,
June,2.20,1.97,1.35,2.56,0.77,2.19,1.30,3.05,1.93,1.25,,
July,4.19,2.37,4.85,2.30,1.29,4.89,4.06,7.15,2.32,2.76,,
August,5.07,3.83,1.85,3.98,0.95,5.76,2.69,3.30,0.34,4.11,,
September,0.89,1.82,2.18,2.65,1.31,3.69,1.45,2.43,0.57,1.05,,
October,0.43,1.41,1.08,6.97,1.39,1.79,1.76,1.06,1.57,2.99,,
November,3.87,2.24,3.18,2.43,0.76,0.62,1.88,1.12,4.49,2.31,,
December,1.94,2.18,2.98,3.06,3.57,2.42,2.08,3.93,2.50,2.54,,
Total,31.69,22.23,22.43,35.37,16.53,26.82,25.33,30.70,17.14,25.79,,
Calc annual,31.69,22.23,22.43,35.37,16.53,26.82,25.33,30.70,17.14,25.79,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
