"WYTHBURN VICARAGE 5"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,NY324131,Long,-3.045,Lat,54.5089,Elevation,574,ft,,,,,,,,,,,,
Station no,RR472,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,4.68,3.48,9.63,17.68,16.15,9.04,10.46,7.16,5.35,6.41,18.71,8.98,9.21,,,,,,,
February,12.17,7.83,12.61,15.02,12.54,19.22,4.58,7.68,2.37,5.43,1.46,0.97,,,,,,,,
March,3.75,12.1,9.36,5.66,9.01,7.97,11.58,2.88,6.96,4.94,7.38,5.72,,,,,,,,
April,9.47,2,8.24,3.4,4.14,8.3,7.46,5.71,4.48,4.06,2.84,6.4,,,,,,,,
May,3.41,8.69,7.26,5.3,9.12,5.37,9.14,3.06,6.6,5.73,4.76,4.86,,,,,,,,
June,4.54,6.31,9.16,6.97,1.07,2.69,3.2,-999,2.43,1.03,7.76,2.75,,,,,,,,
July,7.57,11.81,14.57,6.01,7.7,5.6,9.37,-999,10.45,4.75,8.81,6.39,,,,,,,,
August,3.94,9.23,7.01,8.83,2.33,6.28,4.52,3.21,7.65,9.03,8.51,21.5,,,,,,,,
September,8.94,4.51,5,10.04,8.27,13.76,17.77,10.27,2,3.5,7.66,15.4,,,,,,,,
October,4.39,4.9,8.59,12.75,8.1,13.37,10.12,6.63,15.14,14.62,7.26,14.55,,,,,,,,
November,15.71,17.08,15.06,17.28,5.9,7.48,10.75,6.43,18.83,5.46,18.95,11.73,,,,,,,,
December,7.07,14.51,9.43,9.95,15.48,4.72,12.56,9.64,14.38,11.05,1.05,22.43,,,,,,,,
Total,85.64,102.45,115.92,118.89,99.81,103.8,111.51,69.64,96.64,76.01,95.15,121.68,,,,,,,,
