"WYTHBURN PARSONAGE 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY324131,Long,-3.045,Lat,54.5089,Elevation,574,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,10.5,15,13.75,9.25,7,22.25,22.25,13,18.25,6.75,17.5,10,1.75,3.75,1.5,,,,,,,,
February,,,,,,,,8.25,12.5,17.5,12.25,10.5,14.5,1.5,7,2.75,10.75,8.5,7.5,7,12.75,,,,,,,,,
March,,,,,,,,6,15.5,1,4.75,7.25,8.75,5.75,7,3.5,9,5,4.5,7.5,3.75,8,,,,,,,,
April,,,,,,,,10.63,6.37,5,3.5,4.75,3,1.5,4.5,2.25,4.5,4,3.25,3.33,7.75,2,,,,,,,,
May,,,,,,,,3.87,4.5,3.5,10,1.5,5.5,4.25,1,4.25,1.25,7.75,8,1.75,3,8.25,,,,,,,,
June,,,,,,,,2.5,2,2.75,2.25,2.75,10.5,3.75,2.75,7,6,7,3.5,7.75,4,9.25,,,,,,,,
July,,,,,,,,7.25,0.38,4.75,1.25,8.75,6,12.75,4.25,4,3.5,11,1,11.5,7.25,11.25,,,,,,,,
August,,,,,,,,7,12,2,3.25,7.75,6.5,11,14.25,5.25,9.5,9,7.25,8.5,3,8.5,,,,,,,,
September,,,,,,,10,8,4.5,20.25,9,5.25,15.25,8,9.5,10.75,7.5,5.25,10.25,10,8.5,3.5,,,,,,,,
October,,,,,,,5.88,10.75,12.75,5,21.75,10.75,12.5,13,23.25,7.75,7.5,17.5,12.75,5.5,4,,,,,,,,,
November,,,,,,,12.88,1.75,7.25,12.75,6.75,3.75,15.25,5.5,8.75,9.25,6.5,22,3.75,2,15.25,17.5,,,,,,,,
December,,,,,,,17.25,5.75,23,15.25,4.75,14.75,15.5,7,5.5,10.75,16.25,11.5,5,8.25,8.5,,,,,,,,,
Total,,,,,,,,82.25,115.75,103.5,88.75,84.75,135.5,96.25,100.75,85.75,89,126,76.75,74.83,81.5,,,,,,,,,
