"POLLOKSHAWS (POLLOK HOUSE)",,,,,,,,,,,,
Grid ref,NS549619,Long,-4.318007,Lat,55.828461,,,,,,,
Station no,5287,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.46,3.98,1.23,5.38,2.62,2.14,5.77,4.64,1.42,3.87,,
February,2.40,1.22,1.21,3.61,2.65,1.03,2.76,2.78,1.44,3.80,,
March,2.77,2.43,0.84,2.46,2.04,1.64,3.60,1.15,1.49,1.74,,
April,2.21,1.73,1.49,1.27,1.32,0.78,2.03,1.02,3.52,2.90,,
May,1.73,1.78,2.09,3.15,3.21,2.42,2.36,2.79,0.70,2.72,,
June,2.25,2.75,1.61,2.75,1.66,2.58,1.81,3.15,2.89,2.01,,
July,2.38,2.04,4.10,3.40,1.35,4.34,3.80,4.44,4.01,3.27,,
August,4.48,2.79,2.79,5.34,1.02,4.88,3.53,3.89,0.28,3.34,,
September,3.06,3.22,3.50,4.14,3.56,4.87,2.61,4.24,0.93,1.46,,
October,0.79,4.38,2.26,9.26,2.62,3.15,4.28,3.29,5.33,4.38,,
November,5.79,1.96,6.14,6.27,1.70,1.37,1.72,1.59,3.84,4.98,,
December,5.94,3.63,4.72,5.45,5.82,4.68,3.88,5.16,6.54,5.22,,
Total,38.26,31.91,31.98,52.48,29.57,33.88,38.15,38.14,32.39,39.69,,
Calc annual,38.26,31.91,31.98,52.48,29.57,33.88,38.15,38.14,32.39,39.69,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
