POLLOKSHAWS (POLLOK HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS549619,Long,-4.318007,Lat,55.828461,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.1,3.46,3.29,2.29,5.97,1.98,4.49,3.49,5.87,7.22,3.29,4.01,3.7,4.42,5.35,4.98,8.7,1.53,5.44,3.26,6.46,4.29,5.34,1.65,4.32,3.12,6.5,4.34,2.56,1.1,4.95,4.19,3.85,2.93,5.57,4.03,6.29,4.58,3.18,4.46,3.98,1.23,5.38,2.62,2.14,5.77,4.64,1.42,3.87
February,,,3.47,3.24,3.73,4.35,4.87,0.92,5.26,0.85,4.99,0.94,3.59,4.14,0.48,3.93,4.43,2.28,4.73,1.38,0.35,2.87,0.05,3.2,0.28,3.89,1.67,4.78,1.9,5.2,1.54,3.21,1.6,5.48,1.59,5.68,2.99,1.17,4.22,4.44,,2.4,1.22,1.21,3.61,2.65,1.03,2.76,2.78,1.44,3.8
March,,,3.67,4.63,4.48,0.98,2.19,2.47,1.53,3.22,3.81,6.14,1.75,1.83,0.83,2.1,2.8,3.12,3.65,0.62,3,1.19,1.86,2.56,2.78,1.64,2.41,1.24,3.19,2.95,4.42,3.35,2.23,2.13,0.71,3.24,2.28,3.42,3.46,1.36,,2.77,2.43,0.84,2.46,2.04,1.64,3.6,1.15,1.49,1.74
April,,,0.49,2.84,2.36,2.44,2.97,1.13,0.59,1.48,1.75,0.78,2.15,3.25,2.03,4.48,2.42,2.15,0.99,1.83,1.01,1.63,3.32,1.52,2.84,2.86,1.05,1.9,0.24,1.37,2.11,1.63,2.32,2.73,2.66,2,1.47,5.79,2.68,4.24,,2.21,1.73,1.49,1.27,1.32,0.78,2.03,1.02,3.52,2.9
May,,,1.15,2.3,1.55,1.28,3.89,2.81,2.65,0.58,4.74,2.43,2.78,2,3.99,6.09,3.11,2.23,2.13,2.42,1.5,3.87,2.7,2.35,2.18,0.51,1.4,1.6,3.89,0.76,0.96,3.18,2.67,3.5,2.51,4.98,1.01,3.72,1.15,1.88,,1.73,1.78,2.09,3.15,3.21,2.42,2.36,2.79,0.7,2.72
June,,,4.06,2.87,0.44,1.87,2.71,3.02,1.17,4.15,2.4,0.47,1.51,1.19,1.48,0.27,2.19,4.06,4.93,2.7,2.82,4.79,1.05,2.1,1.97,4.49,1.3,1.75,4.35,1.66,0.61,0.57,1.69,2.59,3.05,4.33,2.74,2.56,5.23,1,,2.25,2.75,1.61,2.75,1.66,2.58,1.81,3.15,2.89,2.01
July,,,2.28,1.47,2.83,3.47,3.88,1.9,3.13,0.71,3.7,3.69,2.55,3.42,2.89,1.59,3.32,3.32,2.36,2.73,3.1,3.05,3.06,3.96,1.44,1.59,4.84,3.41,3.36,3.9,4.63,3.43,2.32,2.67,2.59,3.34,3.49,3.24,2.89,1.54,5.3,2.38,2.04,4.1,3.4,1.35,4.34,3.8,4.44,4.01,3.27
August,,,3.54,1.01,2.68,2.29,3.87,3.44,3.11,2.52,4.35,5.2,3.02,5.24,2.65,3.48,3.19,5.87,3.95,5.69,4.99,2.28,1.6,2.32,4.43,2.04,2.64,3.25,2.74,1.61,2.58,4.43,3.76,6.41,3.72,1.81,2.46,0,5.82,4.55,3.81,4.48,2.79,2.79,5.34,1.02,4.88,3.53,3.89,0.28,3.34
September,,,2.1,1.97,1.75,1.11,0.86,2.13,6.87,2.49,1.73,2.14,1.47,5.71,4.75,3.86,2.94,6.53,3.33,1.27,4.53,1.29,4.75,0.74,4.07,5.31,4.18,2.76,2.83,1.96,3.9,1.45,5.06,2.41,4.47,4.64,6.62,4.73,6.53,1.6,8.41,3.06,3.22,3.5,4.14,3.56,4.87,2.61,4.24,0.93,1.46
October,,,3.68,1.06,1.21,2.21,6.79,6.54,5.7,0.83,1.56,5.32,1.94,4.97,2.62,3.4,5.72,6.13,6.54,5.03,5.41,3.11,6.04,2.97,6.68,8.55,4.04,3.44,8.16,2.38,4.63,3.21,4.8,7.23,4.53,5.58,0.65,2.16,4.24,5.21,3.51,0.79,4.38,2.26,9.26,2.62,3.15,4.28,3.29,5.33,4.38
