WEST-ADDERBURY-LITTLE-MANOR,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP463354,Long,-1.3267699,Lat,52.015102,Elevation,330,ft,,,,,,,,,,,,,
Station no,1063,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.5,1.38,3.59,1.53,2.21,1.68,2.02,0.67,,,,,
February,,,,,,,,,1.96,0.6,0.73,2.35,0.2,3.04,0.42,2.37,,,,,
March,,,,,,,,,1.84,0.03,1.36,0.06,1.83,2.69,1.99,0.54,,,,,
April,,,,,,,,,1.05,1.38,2.54,3.79,2.01,1.47,1.83,4.24,,,,,
May,,,,,,,,,0.76,1.7,2.08,2.79,5.01,1.28,0.61,2.05,,,,,
June,,,,,,,,,2.18,1.18,1.36,2.23,1.17,2.51,1.03,5.24,,,,,
July,,,,,,,,2.5,2.26,1.96,2.97,3.24,1.46,1.15,1.25,0.46,,,,,
August,,,,,,,,3.55,2.3,1.44,2.46,4.39,2.14,0.83,1.87,1.45,,,,,
September,,,,,,,,5.36,0.69,0.57,3.05,2.3,2.53,1.66,2.59,4.1,,,,,
October,,,,,,,,1.91,4.22,3.59,1.58,0.68,3.65,1.76,1.42,3.95,,,,,
November,,,,,,,,2.57,3.36,6.9,3.52,3.28,1.59,1.03,1.61,5.19,,,,,
December,,,,,,,,2.85,2.35,5.98,3.24,1.02,0.73,0.32,5.36,3.33,,,,,
Total,,,,,,,,,26.47,26.71,28.48,27.66,24.53,19.42,22,33.59,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1933 May Gauge moved short distance to Court End (same NGR),,,,,,,,,,,,,,,,,,,,,
