"OVING HOUSE BUCKINGHAMSHIRE",,,,,,,,,,,,
Grid ref,SP788212,Long,-0.856541,Lat,51.883802,,,,,,,
Station no,1018,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.96,1.03,3.64,1.10,2.23,0.86,,
February,,,,,3.06,0.72,1.75,1.06,1.19,0.39,,
March,,,,,1.11,3.24,1.54,1.18,2.67,2.16,,
April,,,,,1.18,2.09,0.61,2.56,4.24,2.02,,
May,,,,,2.37,1.22,1.42,2.78,1.63,1.72,,
June,,,,,1.00,3.59,3.32,2.42,1.41,3.54,,
July,,,,,4.08,0.84,0.68,2.41,2.63,3.15,,
August,,,,,3.02,3.19,1.32,1.74,2.97,2.60,,
September,,,,,1.59,1.53,1.34,0.72,1.48,2.38,,
October,,,,,1.08,1.34,4.46,4.46,1.32,3.76,,
November,,,,,1.63,2.49,3.27,2.05,1.05,0.79,,
December,,,,,2.20,1.01,2.19,3.98,1.88,2.32,,
Total,,,,,25.28,22.29,25.54,26.46,24.70,25.69,,
Calc annual,0.00,0.00,0.00,0.00,25.28,22.29,25.54,26.46,24.70,25.69,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,,
