"CLEADON PUMPING STATION",,,,,,,,,,,,
Grid ref,NZ386636,Long,-1.398640,Lat,54.965539,,,,,,,
Station no,3556,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.66,1.43,0.72,2.51,1.80,0.18,2.45,0.41,1.26,0.47,,
February,4.57,1.77,1.23,0.74,2.24,0.61,1.10,0.90,1.07,1.36,,
March,2.06,1.54,0.65,0.88,1.08,1.53,0.96,0.66,2.26,4.60,,
April,1.16,0.84,1.41,1.84,1.00,2.28,0.57,1.63,2.70,2.51,,
May,1.19,2.21,2.65,2.12,2.59,0.48,5.70,4.16,1.50,1.76,,
June,3.95,1.35,2.38,2.82,1.85,0.60,1.22,2.36,0.48,2.48,,
July,2.56,2.83,2.19,4.73,1.40,1.71,0.87,1.10,2.62,2.65,,
August,6.19,1.87,1.64,2.11,3.39,2.46,2.93,2.63,1.29,3.14,,
September,0.73,1.20,0.67,3.02,0.90,1.75,0.58,0.48,1.58,1.78,,
October,6.77,1.90,2.08,7.51,0.62,3.65,4.69,3.42,1.20,2.64,,
November,2.65,5.03,1.17,2.43,2.74,4.17,2.51,1.40,1.21,1.20,,
December,2.01,3.30,2.72,1.59,1.62,0.25,1.54,2.75,1.43,3.24,,
Total,36.50,25.27,19.51,32.30,21.23,19.67,25.12,21.90,18.60,27.83,,
Calc annual,36.50,25.27,19.51,32.30,21.23,19.67,25.12,21.90,18.60,27.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
