EDMONDBYERS COMMON,,,,,,,,,,
Grid ref,NY971459,Long,-2.046643,Lat,54.807958,Elevation,1540,ft,,
Station no,SN 3553/8/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.85,4,3.33,3.54,4.1,3.8,3.55,4.1
February,,,2.77,2.8,3.57,4.9,3.7,4.75,0.6,5
March,,,0.35,3.25,2.6,2.15,2.2,2.95,1.45,2.9
April,,,3.55,1,0.7,1.4,0.7,2.15,3.45,1.95
May,,,3.35,5.75,3,0.9,1.5,4.1,0.85,2.21
June,,,4.6,2.3,2.85,3.5,1.05,4.65,1.85,0.6
July,,1.62,1.9,1.9,1.5,3.8,3.9,3.85,1.45,5.5
August,,4.15,4.3,9.25,1.27,10.25,5.65,5.45,0.8,4.05
September,,5.41,3.45,4.44,1.6,4.5,3.98,3.35,1.35,3.65
October,,5.3,2.51,5.41,2.35,2.55,3.35,2.08,2.95,12
November,,3.67,2.81,6.46,2.33,1.5,2.75,0.6,6.65,4.45
December,,3.36,1.85,5.56,5.4,4.85,3.8,5.15,7.2,4
Total,,,33.29,52.12,30.5,43.84,36.68,42.88,32.15,50.41
,,,,,,,,,,
1952 -999 removed as 100s on original record,,,,,,,,,,
EDMONDBYERS COMMON ,NY9709845894,01/01/1952,31/12/1967,,,,,,,
