"CHESTER (WATERWORKS)",,,,,,,,,,,,
Grid ref,SJ421665,Long,-2.868056,Lat,53.192418,,,,,,,
Station no,2797,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.50,2.52,0.84,1.57,1.71,3.17,0.94,2.47,3.16,3.85,,
February,1.75,0.77,1.25,2.16,1.82,0.33,1.96,3.64,0.20,2.14,,
March,4.30,0.69,0.60,1.84,1.84,1.09,1.14,1.19,0.75,1.32,,
April,1.25,1.49,2.23,0.65,1.35,1.95,0.56,0.27,2.74,1.03,,
May,3.11,1.48,1.83,2.32,2.36,0.53,1.46,1.90,1.39,1.94,,
June,1.52,1.27,1.28,3.16,3.45,2.04,1.12,3.36,3.45,0.83,,
July,3.77,2.17,2.99,3.79,0.28,4.78,4.21,2.72,1.99,2.17,,
August,2.97,1.18,2.11,3.52,0.82,6.44,2.57,3.53,0.86,4.69,,
September,1.58,2.66,2.52,2.11,2.44,1.70,6.31,4.08,0.12,3.42,,
October,0.77,4.19,1.22,4.77,1.81,1.51,1.62,2.14,1.95,3.63,,
November,5.31,1.73,1.86,4.89,1.53,0.76,1.29,1.59,3.59,3.79,,
December,2.67,2.98,1.15,2.75,2.60,2.00,1.34,2.76,3.73,2.34,,
Total,30.50,23.13,19.88,33.53,22.01,26.30,24.52,29.65,23.93,31.15,,
Calc annual,30.50,23.13,19.88,33.53,22.01,26.30,24.52,29.65,23.93,31.15,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
