"SANDRINGHAM HOUSE",,,,,,,,,,,,
Grid ref,TF695288,Long,0.514524,Lat,52.830063,,,,,,,
Station no,1443,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.25,1.61,1.21,3.32,1.63,1.50,1.31,,
February,,,,0.63,2.62,1.04,2.49,1.88,1.82,0.78,,
March,,,,2.34,1.45,2.78,2.19,1.72,3.13,3.92,,
April,,,,2.12,0.93,1.88,0.87,2.39,3.19,1.85,,
May,,,,2.70,1.36,1.43,2.15,3.46,2.27,1.46,,
June,,,,2.29,1.56,3.59,3.71,2.68,0.92,5.47,,
July,,,,3.27,3.05,1.49,0.80,1.82,3.34,5.37,,
August,,,,4.61,1.41,2.01,3.70,2.20,2.15,3.83,,
September,,,,3.12,2.18,2.28,1.53,0.81,2.83,1.65,,
October,,,,6.62,2.24,2.72,5.73,3.15,1.39,4.40,,
November,,,,1.83,1.08,2.12,4.33,3.45,1.31,1.20,,
December,,,,1.55,2.21,1.20,1.61,3.78,1.84,4.99,,
Total,,,,32.33,21.70,23.75,32.43,28.97,25.69,36.23,,
Calc annual,0.00,0.00,0.00,32.33,21.70,23.75,32.43,28.97,25.69,36.23,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
