FENTON BARNS,,,,,,,,,,,,,,,,,,,,
Grid ref,NT514817,Long,-2.7813323,Lat,56.025727,Elevation,103,ft,,,,,,,,,,,,
Station no,RR2699,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,2.3,1.2,1.5,2.2,0.4,2.4,2.5,1.15,0.87,3.8,,,,,,,
February,,,,0.7,2,0.8,2.7,1.1,1,1.3,2,2.01,3.1,,,,,,,
March,,,,1,3.75,1,1.6,0.9,0.9,1,1.2,0.4,3.5,,,,,,,
April,,,,1.6,1,1.1,1.6,2.1,3.1,1.6,0.3,5.45,2.4,,,,,,,
May,,,,1.5,1.75,4,1.05,2.9,2.1,1.8,0.9,0.8,4.6,,,,,,,
June,,,,2.5,1.4,0.3,1.2,2.3,0.4,2.2,2.1,2.5,3.7,,,,,,,
July,,,,0.8,1.6,2.7,4.1,6.6,0.48,0.7,0.7,2.35,3.4,,,,,,,
August,,,,4.5,1.1,2.4,3.4,2.2,3.5,1,1.8,1.7,3,,,,,,,
September,,,,2.6,2.8,0.9,2.8,1,3.6,4.9,1.15,3.3,5.6,,,,,,,
October,,,,1.9,8.7,,1.2,1.5,1.25,1.9,2.4,2.5,4.2,,,,,,,
November,,,,2.2,2,,2.3,0.5,1,1,0.8,4,3.7,,,,,,,
December,,,,1.8,2.2,,2.1,1.4,2.85,0.7,2.5,1.3,3,,,,,,,
Total,,,,23.4,29.5,,26.25,22.9,22.58,20.6,17,27.18,44,,,,,,,
