SPALDING GRAMMAR SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF246222,Long,-0.154,Lat,52.783,Elevation,14,ft,,,,,,,,,,,,,,,,
Station no,2529/3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.67,2.13,3.70,1.25,2.84,,,1.83,2.45,0.98,,3.41,1.16,0.72,2.16,,0.63,1.40,2.16,4.51,0.69,2.16,2.33,3.60
February,2.26,0.79,0.44,1.97,2.25,,,1.75,1.59,2.33,,0.83,0.57,3.19,3.17,0.29,1.99,2.04,2.55,0.77,2.41,2.77,0.15,2.48
March,2.34,0.21,0.95,1.27,3.41,,,0.25,0.64,0.92,,0.39,0.71,0.56,3.58,2.45,0.74,1.48,1.81,0.67,1.70,1.41,2.43,1.05
April,2.13,0.07,1.93,1.16,0.74,,,1.73,0.79,0.93,1.91,0.89,2.05,1.92,2.03,1.41,1.65,0.37,0.97,1.02,0.24,0.72,1.09,0.31
May,3.83,2.77,0.67,0.92,2.20,,,0.94,1.61,0.85,0.23,2.95,2.29,2.51,2.77,1.72,2.08,3.33,2.86,1.10,1.61,2.34,0.76,0.70
June,1.00,0.70,1.50,0.35,0.63,,,2.55,1.89,1.21,2.20,2.73,0.48,1.47,1.01,0.73,2.95,2.68,2.12,2.20,1.83,3.26,0.97,1.30
July,4.42,2.08,2.74,1.57,6.00,,,2.02,1.38,1.21,1.81,0.97,2.43,2.94,1.09,0.20,3.68,2.54,0.28,2.77,2.19,3.71,1.97,2.51
August,0.35,1.31,2.32,0.36,3.95,,,2.68,3.52,3.08,0.00,3.31,1.19,2.04,2.80,,1.94,3.43,0.92,3.75,2.06,2.92,1.03,2.73
September,1.55,1.68,0.82,0.62,0.82,,1.70,3.27,1.65,,1.11,2.19,1.13,2.42,1.44,,1.18,1.92,0.96,1.26,3.53,2.28,0.27,2.56
October,1.94,1.47,3.62,2.74,2.59,,1.05,2.39,1.93,2.19,0.21,2.02,3.01,0.64,0.96,1.98,2.23,1.97,1.33,0.94,1.05,2.00,1.20,5.19
November,1.23,1.25,4.44,5.41,3.54,,1.39,2.44,0.63,3.59,0.60,1.32,2.33,3.58,3.05,2.34,1.72,4.15,1.17,0.59,1.95,1.38,1.47,3.36
December,2.63,4.15,1.95,1.94,0.52,,0.86,1.05,2.03,1.78,1.69,1.66,1.06,1.18,1.12,1.54,0.68,2.05,1.45,1.59,2.04,2.69,3.52,3.20
Total,26.35,18.61,25.08,19.56,29.49,,,22.90,20.11,,,22.67,18.41,23.17,25.18,,21.47,27.36,18.58,21.17,21.30,27.64,17.19,28.99
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/080,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/164,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/165,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/167,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The Met Office archive has two copies of the 1950s sheet.,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The following readings are estimates and have been omitted:,,,,,,,,,,,,,,,,,,,,,,,,
# - September 1946,,,,,,,,,,,,,,,,,,,,,,,,
# - January-March 1947,,,,,,,,,,,,,,,,,,,,,,,,
"# - January, August, September 1952",,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
"# The sheets record several gauge moves within the school site, including a 400 yards move at the end of 1953.",,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1972 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,
