BLACK-MOUNTAINS-WAUN-FACH-8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO215299,Long,-3.1438993,Lat,51.962017,Elevation,2650,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,,4.8,3,6,1.3,,,,,2.88,,6.86,6.96,4.03,5.73,5.18,3.38,5.4,4.06,5.07,6.05,,
February,,,,,,,,,2.8,1.5,9.9,3.82,,,,,,2.39,3.23,3.85,1.93,0.5,5.79,12.69,0.82,7.17,3.98,6.43,,
March,,,,,,,,,5.4,5.4,2.3,,,,,,,,2.61,8.54,5.93,6.19,4.73,2.26,2.3,1.4,1.11,5.18,,
April,,,,,,,,5.85,3.95,4.8,5,3.12,0.32,6.98,1.58,1.85,2.27,,6.05,5.95,9.99,1.13,4.24,3.7,5.44,3.48,4.09,2.59,,
May,,,,,,,,5.3,4.45,1.9,3.6,3.14,2.39,4.69,2.88,,4.87,8.05,3.45,0.78,3.78,2.26,0.56,3.03,6.33,5.91,3.43,2.27,,
June,,,,,,,,6.92,1.85,5.4,7.25,4.91,5.91,2.04,3.37,1.5,3.24,3.26,1.46,2.1,4.99,0.33,1.93,1.16,2.98,0,3.18,6.33,,
July,,,,,,,,3.7,5,5.55,4.35,0.91,6.11,1.18,6.63,5.9,2.66,3.49,6.62,2.12,7.83,2.24,5.9,3.55,7.52,4.6,4.86,6.61,,
August,,,,,,,,5.3,6.45,3.05,8.95,3.12,12.24,3.38,3.88,5.15,3.2,12.33,2.88,3.91,2.56,5.57,5.06,4.03,6.5,4.96,5.22,10.8,,
September,,,,,,,,1.25,3.9,5.05,1.2,4,1.7,4.43,2.81,1.04,3.4,3.58,10.05,2.73,5.72,2.68,3.53,4.03,9.33,4.85,2.95,10.19,,
October,,,,,,,,9.41,3.3,10,6.78,4.63,,8.49,5.23,6.49,9.04,6.28,3.22,3.14,6.21,2.49,1.28,8.98,6.58,6.94,4.19,10.39,,
November,,,,,,,,3.75,3.75,3.15,7.58,,,7.34,7.01,4.41,5.95,2.24,4.73,2.92,2.83,4.29,2.14,3.79,4.64,3.24,12.3,5.78,,
December,,,,,,,,6.8,5.3,,10.5,,,3.39,10.01,10.47,4.08,2.81,8.12,6.32,5.46,3.98,5.07,3.05,8.57,6.6,1.29,4.17,,
Total,,,,,,,,,50.95,,73.41,,,,,,,,59.28,49.32,61.26,37.39,45.41,53.65,66.41,53.21,51.67,76.79,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is top of Waun Fach. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved a couple of times in first few months of 1907.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumed both gauges are in the same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
