BLACK-MOUNTAINS-WAUN-FACH-8b,,,,,,,,,,
Grid ref,SO215299,Long,-3.1438993,Lat,51.962017,Elevation,2650,ft.,,
Station no,RR6210,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.66,5.85,3.47,,3.56,3,,
February,,,4.09,2.33,,,,2.02,,
March,,,6.93,7.95,,,,6,,
April,,,0.37,5.98,1.58,2.01,2.5,4.01,,
May,,,2.38,4.57,3.19,,4.85,7.82,,
June,,,5.97,2.46,4.18,1.61,3.45,3.33,,
July,,,6.35,1.31,7.5,,2.65,3.62,,
August,,,12.23,3.85,4.33,5.31,3.47,12.74,,
September,,,2.03,4.62,2.98,,3.73,3.81,,
October,,,5.41,8.37,5.88,7.04,9.91,6.92,,
November,,5.43,2.6,7.34,7.59,,6.11,3.03,,
December,,9.68,6.99,3.35,9.25,11.3,4.03,1.63,,
Total,,,61.01,57.98,,,,57.93,,
,,,,,,,,,,
NGR is top of Waun Fach. Altitudes match.,,,,,,,,,,
Gauge moved a couple of times in first few months of 1907.,,,,,,,,,,
Assumed both gauges are in the same location,,,,,,,,,,
