CROSSENS (PUMPING STATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD378206,Long,-2.943113,Lat,53.678145,Elevation,15,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3012/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.53,3.38,3.88,1.47,1.38,2.47,3.32,3.39,2.1,3.42,2.35,5.64,1.68,1.17,2.49,3,1.14,2.66,2.3,3.79,2.78,3.17,3.15,4.85
February,,,,,,,4.57,0.96,2.02,1.79,3.13,0.94,1.86,1.03,3.68,3.78,0.89,1.4,1.38,2.88,2.11,0.95,0.65,3.21,2.26,0.27,2.8,5.5,0.34,1.98
March,,,,,,,1.8,1.03,2.17,1.97,2.41,2.29,0.66,0.64,1.04,0.61,5.06,1.28,1.83,0.86,3.89,1.7,0.96,2.25,1.39,1.05,2.37,1.26,1.37,1.55
April,,,,,,,3,0.18,2.24,1.77,1.04,1.24,1.83,2.15,1.7,0.93,2.89,1.41,2.61,1.93,1.08,2.72,1.94,1.03,1.69,1.94,0.39,1.11,2.64,1.28
May,,,,,,,1.93,3.53,0.81,2.06,1.68,3.27,2.93,1.52,3.03,1.16,3.72,1.71,2.16,0.51,2.77,2.51,2.05,2.6,2.15,1.27,1.89,3.98,1.56,2.36
June,,,,,,,2.08,3.41,3.38,0.69,0.22,0.66,2.23,1.65,3.01,3.59,2.22,3.56,0.57,1.38,0.86,2.28,1.52,2.74,3.05,1.54,1.4,3.15,3.11,1.38
July,,,,,,,1.53,3.07,6.35,4.23,1.77,3.22,4.25,3.12,2.3,3.98,2.14,2.29,2.79,2.28,1.55,1.52,2.74,3.96,0.98,4.18,4.46,2.77,3.94,4.18
August,,,,,,,1.81,2.59,1.74,1.14,4.28,3.2,4.39,2.69,1.73,5.39,0.26,5.41,1.89,5.99,3.53,3.06,3.78,4.21,1.29,10.88,4.67,3.55,0.47,3.45
September,,,,,,,2.01,1.82,0.86,2.59,1.38,2.37,4.34,5.46,1.95,5.35,2.66,2.37,0.98,5.34,2.65,3.87,4.33,4.13,3.06,3.07,5.81,3.26,0.51,3.67
October,,,,,,,2.35,5.54,1.72,3.52,3.88,3.18,4.27,3.19,4.08,0.53,0.32,2.15,4.4,2.64,1.63,2.83,1.65,6.94,2.11,2.06,4.84,3.45,3,2.9
November,,,,,,,1.49,4.65,4.61,4.53,1.66,1,2.35,6.34,0.23,4.28,3.09,2.52,3.21,3.69,6.75,1.98,3.52,5.7,1.44,1.43,1.33,1.59,4.6,6.49
December,,,,,,,2.14,3.21,2.64,2.61,0.79,2.9,1.81,2.42,2.12,3.64,2.49,3.08,3.74,2.25,6.61,2.91,1.49,3.44,3.46,2.81,3.15,3.05,5.78,3.63
Total,,,,,,,26.24,33.37,32.42,28.37,23.62,26.74,34.24,33.6,26.97,36.66,28.09,32.82,27.24,30.92,35.92,29.33,25.77,42.87,25.18,34.29,35.89,35.84,30.47,37.72
