LOUGHBOROUGH-CEDAR-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK504172,Long,-1.2547585,Lat,52.750075,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,0.85,3.68,2.52,1.97,3.05,1.84,3.93,2.12,1.44,0.31,0.54,2.31,2.48,2.58,1.7,2.96,2.44,0.64,1.34,2.46,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,1.24,2.52,1.09,1.7,1.32,2.84,2.04,1.18,2.52,2.21,3.78,2.34,3.38,1.19,2.93,0.41,0.56,1.41,1.88,0.81,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,1.28,1.47,2.43,1.06,0.75,3.09,1.95,1.02,0.97,1.65,2.02,1.77,0.96,2.2,0.94,2.83,1.55,2.79,4.33,1.58,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,3.32,2.63,0.7,1.6,0.96,3.32,3.14,1.9,2.72,1.6,1.56,2.89,2.15,2.23,2.64,2.1,1.4,2.75,3.96,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,1.91,2.14,2.52,1.06,1.84,0.68,2.61,4.75,2.62,1.47,0.92,1.79,2.47,1.09,2.4,5.7,1.49,0.8,4,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,5.12,4.49,4.1,0.4,3.84,1.6,1.71,1.84,4.59,3.33,2.01,4.3,3.71,1.24,3.18,1.3,1.68,1.78,0.93,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,5.08,3.82,2.04,0.8,8.22,1.35,3.13,1.24,3.02,4.62,1.8,4.37,2.74,3.53,0.16,3.11,0.89,6.01,2.11,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,1.09,3.26,3.54,2.14,3.61,1.82,3.3,5.79,3.45,1.57,5.33,2.19,2.91,1.99,2.91,2.58,1.27,2.89,3.54,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,5.67,2.91,1.62,3.28,2.99,5.26,2.17,1.85,3.58,4.48,1.9,2.29,4.78,1.35,3.49,1.29,2.29,0.96,2.51,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,1.48,4.48,2.36,2.39,5.85,1.39,1.82,2.79,0.72,5.61,3.41,5.96,2.34,1.39,6.2,4.76,1.66,0.49,3.3,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
