OXFORD-ST-GILES-MIX (64 BANBURY ROAD (VARLEY)),,,,,,,,,,,,,,,,,,,,
Grid ref,SP511075,Long,-1.260959,Lat,51.763858,Elevation,210,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.79,2.54,2.83,3.81,1.43,1.8,1.35,1.39,5.31,,
February,,,,,,,,,,2.16,2.48,0.92,0.89,0.9,1.84,2.24,1.59,0.88,,
March,,,,,,,,,,2.56,2.51,2.33,0.73,0.2,0.78,0.97,5.2,0.32,,
April,,,,,,,,,,1.72,1.07,1.03,0.96,1.45,1.25,1.3,1.84,1.95,,
May,,,,,,,,,,1.58,1.76,3.11,2.29,0.66,2.25,3.01,1.94,4.78,,
June,,,,,,,,,,0.58,2.11,0.15,1.69,2.09,2.73,2.4,1.11,2.28,,
July,,,,,,,,,4.32,2.42,4.87,1.9,0.96,2.28,2.07,1.29,1.69,0.93,,
August,,,,,,,,,1.92,0.07,3.36,4.58,2.25,1.97,1.52,3.63,0.56,3.34,,
September,,,,,,,,,0.52,0.99,0.39,1.07,1.74,2.56,1.94,3.36,1.16,2.53,,
October,,,,,,,,,5.55,2.67,1.11,2.88,2.43,3.44,2.76,0.82,0.44,2.25,,
November,,,,,,,,,4.13,7.1,2.64,2.44,1.3,3.46,0.16,4.64,1.26,,,
December,,,,,,,,,1.41,1.23,1.13,3.31,1.01,1.6,3.53,2.15,1.84,,,
Total,,,,,,,,,,25.87,25.97,26.55,20.06,22.04,22.63,27.16,20.02,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
