OXFORD-ST-GILES-MIX (BANBURY ROAD (SAUNDERS)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP506095,Long,-1.2679126,Lat,51.781884,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.69,4.42,2.57,2.6,3.22,3.96,1.57,1.43,1.59,1.4,5.16,1,0.66,3.27,1.7,0.82,,,,,,,
February,,,,,,,,0.81,1.31,2.41,2.57,0.6,1.06,0.97,1.87,2.39,1.54,0.95,1.07,4.49,3.69,0.49,1.58,,,,,,,
March,,,,,,,,0.31,1.65,2.62,2.44,2.27,0.83,0.32,0.99,0.97,4.94,0.9,1.68,1.19,3.92,2.78,0.73,,,,,,,
April,,,,,,,,0.09,3.16,1.68,1.26,1.25,1.16,1.54,1.26,1.37,2.05,1.7,1.4,2.1,2.75,1.86,1.86,,,,,,,
May,,,,,,,,1.91,1.33,1.59,1.6,2.95,2.09,0.71,2.09,2.91,1.72,5.1,2.3,2.25,1.97,2.5,1.72,,,,,,,
June,,,,,,,,1.31,2.22,0.58,2.51,0.13,1.71,1.86,2.99,2.61,1.34,2.23,0.69,1.82,1.15,1.67,1.85,,,,,,,
July,,,,,,,,1.4,3.75,3.26,4.5,1.75,1.07,2.53,2.19,1.41,1.45,0.98,0.98,5.67,1.35,0.28,3.27,,,,,,,
August,,,,,,,,4.01,2.24,0.08,3.44,4.34,2.21,2.08,1.47,4.4,0.68,3.69,1.71,3.49,4.24,4.06,3.5,,,,,,,
September,,,,,,,,2.56,0.73,0.97,0.54,1.3,1.67,2.74,1.6,3.4,1.36,2.73,2.69,2.83,3.43,1.74,2.21,,,,,,,
October,,,,,,,2.84,2.97,5.77,1.37,1.43,3.68,2.86,3.44,2.89,0.97,0.64,2.56,6.25,0.29,0.91,4.18,2.3,,,,,,,
November,,,,,,,1.36,3.18,4.27,7,1.6,2.27,1.47,3.61,0.14,5.05,1.45,1.65,2.9,4.77,5.78,3.33,1.42,,,,,,,
December,,,,,,,1.76,3.09,1.5,1.27,1.16,3.8,1.1,1.54,3.59,2.23,1.89,3.07,1.04,1.52,1.71,2.33,0.71,,,,,,,
Total,,,,,,,,24.33,32.35,25.4,25.65,27.56,21.19,22.91,22.51,29.3,20.46,30.72,23.71,31.08,34.17,26.92,21.97,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
