OXFORD-ST-GILES-MIX (ST GILES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP511067,Long,-1.2610763,Lat,51.756665,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.36,0.75,0.69,2.18,1.7,0.61,2.02,1.8,2.69,0.72,1.98,0.56,2.96,2.3,1.11,,,,,,,,
February,,,,,,,,0.73,2.77,1.85,0.72,0,0.81,2.86,1.64,0.12,0.35,2.66,1.27,1.96,4.78,1.35,,,,,,,,
March,,,,,,,,1.76,3.13,1.88,0.9,1.75,0.42,0.14,1.72,1.6,2.72,3.18,0.76,0.29,0.54,1.42,,,,,,,,
April,,,,,,,,1.23,1.7,3.02,1.13,1.26,0.73,0.07,2.1,1.84,0.63,2.41,1.4,2.08,0.88,2.1,,,,,,,,
May,,,,,,,,1.67,1.37,3.24,1.86,2.51,1.45,0.93,1.67,0.17,0.21,0.92,2.51,1.44,1.36,1.22,,,,,,,,
June,,,,,,,,1.69,3.21,1.72,1.76,1.45,1.85,0.85,3.02,1.08,2.51,2.77,1.59,1.04,2.64,1.49,,,,,,,,
July,,,,,,,,0.8,4.34,2.93,3.12,2.29,3.01,4.18,3.76,3.56,1.58,2.34,0.53,1.28,1.27,4.87,,,,,,,,
August,,,,,,,,1.73,2.27,2.45,2.35,4.83,3.06,1.16,2.5,2.43,3.29,4.14,1.79,1.94,2.55,2.08,,,,,,,,
September,,,,,,,,2.19,1.39,1.73,1.05,1.47,2.39,0.68,1.83,0.6,5.57,2.41,0.38,2.27,0.67,1.88,,,,,,,,
October,,,,,,,,1.84,0.82,2.67,1.29,5.98,3.38,2.76,3.56,2.89,3.15,1.39,4.86,2.59,2.42,1.3,,,,,,,,
November,,,,,,,,2.01,4.26,0.98,1.82,2.41,1.89,1.58,4.88,4.16,0.81,1.24,2.06,2.55,1.71,,,,,,,,,
December,,,,,,,4.86,1.66,2.21,1.19,0.66,3.41,0.92,1.9,2.08,2.17,3.22,2.52,2.31,1.33,3.27,,,,,,,,,
Total,,,,,,,,19.67,28.22,24.35,18.84,29.06,20.52,19.13,30.56,23.31,24.76,27.96,20.02,21.73,24.39,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 Dec Gauge moved to 62 Banbury Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
