"OXFORD (BANBURY ROAD)",,,,,,,,,,,,
Grid ref,SP506095,Long,-1.267913,Lat,51.781884,,,,,,,
Station no,RR4152,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,1.70,0.82,,,,,,,,,
February,3.69,0.49,1.58,,,,,,,,,
March,3.92,2.78,0.73,,,,,,,,,
April,2.75,1.86,1.86,,,,,,,,,
May,1.97,2.50,1.72,,,,,,,,,
June,1.15,1.67,1.85,,,,,,,,,
July,1.35,0.28,3.27,,,,,,,,,
August,4.24,4.06,3.50,,,,,,,,,
September,3.43,1.74,2.21,,,,,,,,,
October,0.91,4.18,2.30,,,,,,,,,
November,5.78,3.33,1.42,,,,,,,,,
December,1.71,2.33,0.71,,,,,,,,,
Total,34.17,26.92,21.97,,,,,,,,,
Calc annual,34.17,26.92,21.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
