HERONSGATE-WATERFIELD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ023949,Long,-0.522959,Lat,51.643605,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,2.65,1.96,0.89,4.69,4.61,3.81,5.09,2.75,2.53,3.62,4.96,1.79,2.51,2.43,2.48,4.84,1.52,0.91,3.5,1.84,,,,,,,,
February,,,,,,,,,,,,,,2.29,0.31,2.96,2.15,4.74,0.6,1.16,2.3,2.36,0.92,1.42,1.18,2.38,2.91,1.41,1.16,1.31,4.81,4.75,0.52,,,,,,,,
March,,,,,,,,,,,,,1.87,3.83,3.11,0.64,1.31,3.33,0.35,1.84,2.68,2.64,1.95,0.45,0.2,0.61,1.25,6.29,0.77,1.02,1.2,3.79,3.08,,,,,,,,
April,,,,,,,,,,,,,2.86,1.08,2.45,3.68,1.34,3.09,0.13,3.35,1.6,1.88,1.14,1.05,2.09,1.29,2.02,1.88,1.98,1.75,2.18,3.18,2.12,,,,,,,,
May,,,,,,,,,,,,,5.28,1.96,0.74,1.27,0.62,3.32,1.79,1.48,2.18,2.07,3.49,2.41,1.32,3.07,4.14,1.61,2.84,2.1,2.17,2.21,1.74,,,,,,,,
June,,,,,,,,,,,,,0.8,1.18,1.27,4.21,4.97,2.23,0.56,1.79,1.6,2.08,0.35,1.34,1.94,2.33,2.44,2.64,2.84,0.59,1.48,1.76,1.3,,,,,,,,
July,,,,,,,,,,,,,3.01,1.24,1.5,0.58,4.48,1.55,2.24,3.95,2.19,5.8,2.39,2.29,1.51,3.29,1.88,2.63,1.15,2.07,5.8,0.89,0.6,,,,,,,,
August,,,,,,,,,,,,,2.09,0.72,2.41,1.9,0.54,1.81,2.81,2.44,0.01,4.85,3.58,1.5,3.27,1.25,4.58,0.31,2.94,1.7,4.15,3.64,3.1,,,,,,,,
September,,,,,,,,,,,,,2.91,2.36,2.21,4.93,3.53,2.15,1.46,2.07,1.27,0.53,1.58,2.07,3.24,1.87,4.05,1.22,2.08,1.1,3.49,3.16,3.7,,,,,,,,
October,,,,,,,,,,,,,4.56,1.86,1.95,3.15,1.8,2.82,3.48,4.4,3.42,1.93,3.72,3.34,3.93,3.35,1.27,0.08,2.07,7.4,0.54,0.94,3.74,,,,,,,,
November,,,,,,,,,,,,,2.33,1.54,1.72,5.07,4.35,1.32,3.94,5.74,7.63,2.86,1.64,1.33,4.59,0.22,5.39,1.02,1.88,3.11,5.25,6.1,3.63,,,,,,,,
December,,,,,,,,,,,,,0.93,0.6,7.3,3.29,2.33,3.62,3.46,1.66,1.56,2.07,3.42,1.33,1.54,2.82,2.71,2.56,4.35,1.99,2.26,1.81,3.08,,,,,,,,
Total,,,,,,,,,,,,,,21.31,26.93,32.57,32.11,34.59,24.63,34.97,29.19,31.6,27.8,23.49,26.6,24.99,35.07,24.13,28.9,25.66,34.24,35.73,28.45,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Jan - 1932 Feb values removed as crossed through on TYR (Gauge interior renewed Mar 1932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
