FAKENHAM-CRANMER-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TF886326,Long,0.79987932,Lat,52.857843,Elevation,160,ft,,,,,,,,,,,,
Station no,RR6642,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.99,2.09,2.45,2.88,3.48,2.62,,0.78,2.48,2.4,1.41,2.05,1.94,3.95,,,,
February,,,1.72,3.76,0.73,2.42,0.65,0.65,,1.77,0.8,0.07,2.32,3.22,1.37,0.46,,,,
March,,,1.37,1.81,1.13,1.64,2.07,2.23,,0.92,3.57,1.58,0.89,0.35,0.94,3.03,,,,
April,,,2.65,1.81,1.88,1.57,2.12,0.94,,1.95,0.98,0.79,1.57,0.16,1.99,1.5,,,,
May,,,1.73,1.89,1.01,2.5,2.83,2.52,,2.98,1.52,3.23,2.19,1.17,2.66,2.16,,,,
June,,,4.02,6.39,0.77,1.85,1.62,0.26,,0.95,4.05,1.83,2.62,1.93,3.22,1.37,,,,
July,,,2.26,3.5,2.11,0.7,4.67,0.82,5.47,2.18,3.06,4.77,3.24,7.61,3.91,2.42,,,,
August,,,2.36,1.49,2.42,0.92,2.81,2.49,3.94,3.63,3.09,3.84,1.83,2.17,2.28,3.27,,,,
September,,,3.33,7.33,2.54,5.05,1.84,2.6,2.27,2.67,0.58,1.28,1.99,1.1,2.04,0.77,,,,
October,,,4.74,4.5,3.39,7.93,3.21,5.02,1.54,3.26,1.4,4.23,8.07,2.22,3.14,2.62,,,,
November,,,3.76,4.7,2.32,3.69,4.05,2.61,2.44,1.79,3.45,2.24,1.64,3.83,3.22,2.54,,,,
December,,,4.8,2.88,3.67,1.59,5.57,2.02,1.18,1.7,0.54,3.56,1.19,1.91,3.25,2,,,,
Total,,,34.73,42.15,24.42,32.74,34.92,24.78,,24.58,25.52,29.82,28.96,27.72,29.96,26.09,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
Gauge replaced in 1888,,,,,,,,,,,,,,,,,,,,
