"CREWKERNE (THE RESERVOIR)",,,,,,,,,,,,
Grid ref,ST437086,Long,-2.801531,Lat,50.874142,,,,,,,
Station no,2051,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.95,2.87,0.91,2.30,4.65,4.60,2.99,4.18,5.80,4.83,,
February,6.55,0.62,1.61,3.49,2.98,0.10,6.30,4.16,0.38,5.60,,
March,3.43,3.23,0.63,5.08,1.91,0.93,3.45,1.77,4.39,2.44,,
April,2.38,2.62,3.76,0.35,1.11,0.89,0.07,0.86,3.91,3.72,,
May,2.85,4.32,3.39,2.66,4.07,0.48,1.83,2.52,0.96,1.59,,
June,0.87,3.06,3.11,3.74,2.65,2.55,2.21,3.74,1.16,1.36,,
July,2.55,1.09,3.69,2.26,3.04,2.80,2.90,2.35,2.31,3.32,,
August,5.39,5.40,1.87,3.12,0.50,4.00,3.22,3.26,1.72,5.51,,
September,4.54,3.96,4.53,3.29,1.61,5.51,3.60,5.27,0.07,5.38,,
October,1.01,4.66,4.26,3.32,2.87,1.51,2.55,3.47,3.55,10.35,,
November,11.38,4.19,2.14,9.88,6.88,0.60,3.28,3.12,7.64,6.13,,
December,3.49,3.02,0.90,3.53,6.12,6.38,4.09,5.11,11.83,4.17,,
Total,48.39,39.04,30.80,43.02,38.39,30.35,36.49,39.81,43.72,54.40,,
Calc annual,48.39,39.04,30.80,43.02,38.39,30.35,36.49,39.81,43.72,54.40,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
