GAINSBOROUGH - MORTON,,,,,,,,
Grid ref,SK807917,Long,-0.787,Lat,53.416,Elevation,22,ft
Station no,RR6510,,,,,,,
,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,
January,1.46,0.62,2.53,0.65,0.86,0.96,1.35,
February,2.35,0.51,2.03,0.89,1.57,0.53,1.62,
March,1.61,2.04,1.36,1.07,2.83,2.85,0.93,
April,0.80,1.68,0.58,1.79,2.07,1.94,1.60,
May,2.13,0.48,1.62,3.07,1.70,1.21,2.32,
June,0.29,1.42,1.49,2.32,1.24,2.78,2.51,
July,2.74,0.64,0.44,1.65,2.99,3.93,2.67,
August,3.11,2.72,1.29,1.52,2.18,3.04,3.18,
September,1.27,1.16,0.81,0.63,1.24,1.70,0.15,
October,0.41,1.34,4.34,3.86,0.72,2.43,,
November,0.82,2.25,2.14,1.47,1.19,0.14,,
December,1.23,0.44,1.81,2.31,1.23,3.98,,
Total,18.22,15.30,20.44,21.23,19.82,25.49,,
,,,,,,,,
TYRain_1900-1909_17_pt1/130,,,,,,,,
TYRain_1910-1919_16_pt1/126,,,,,,,,
,,,,,,,,
# Church directions fit The Hall in Morton.,,,,,,,,
