"BIRMINGHAM (HANDSWORTH)",,,,,,,,,,,,
Grid ref,SP042892,Long,-1.939559,Lat,52.500687,,,,,,,
Station no,2481/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,2.63,0.99,1.18,2.58,3.64,1.22,2.23,3.13,5.69,,
February,2.66,0.61,1.21,2.46,2.09,0.56,2.39,4.88,0.22,2.31,,
March,4.98,2.40,1.53,2.54,3.31,1.11,2.21,1.44,1.54,1.57,,
April,2.55,2.62,2.67,0.56,1.24,1.56,0.22,0.87,3.52,1.38,,
May,3.60,2.78,2.66,2.70,4.84,0.72,1.24,1.99,1.10,1.15,,
June,1.32,1.59,1.89,3.38,2.65,1.91,1.48,4.28,1.03,2.67,,
July,0.97,1.51,3.67,4.41,0.87,3.11,4.39,4.46,2.07,3.39,,
August,4.10,4.25,2.44,4.37,0.55,4.97,4.32,2.25,3.29,3.10,,
September,3.16,1.51,2.10,1.53,1.49,2.78,4.49,3.77,0.19,5.91,,
October,0.65,4.17,1.94,3.53,1.69,1.57,1.40,2.45,2.95,5.16,,
November,7.30,2.43,1.40,5.62,2.72,0.73,1.94,1.92,4.01,3.24,,
December,2.24,2.65,1.20,2.41,2.21,3.15,2.23,3.06,4.45,3.33,,
Total,36.06,29.15,23.70,34.69,26.22,25.81,27.53,33.60,27.50,38.90,,
Calc annual,36.06,29.15,23.70,34.69,26.24,25.81,27.53,33.60,27.50,38.90,,
Difference,0.00,0.00,-0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,,
