"GREENOCK, BATTERY PARK",,,,,,,,,,,,,,,,,,,,
Grid ref,NS 25298 77783,Long,-4.800265,Lat,55.961192,Elevation,10,ft,,,,,,,,,,,,
Station no,5317/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,7.31,8.08,4.2,3.41,0.39,8.31,5.67,6.78,3.98,,,,,
February,,,,,,,5.22,3.37,6.92,1.83,3.57,2.35,5.81,1.82,7.96,,,,,
March,,,,,,,1.48,5.33,3.26,4.34,2.61,3.67,3.34,0.85,3.71,,,,,
April,,,,,,,2,0.62,2.89,2.83,1.81,2.45,3.63,2.46,1.92,,,,,
May,,,,,,,1.41,3.69,1.01,0.67,1.86,2.57,4.05,3.91,4.2,,,,,
June,,,,,,,2.56,6.33,1.78,0.94,0.86,2.53,3.34,5.02,3.82,,,,,
July,,,,,,,4.18,3.76,4.23,3.01,3.03,3.56,3.1,4.75,3.9,,,,,
August,,,,,,,3.33,2.16,1.8,2.14,4.13,5.38,7.96,3.99,,,,,,
September,,,,,,,4.23,4.66,3.31,3.68,1.5,6.16,3.79,5.42,,,,,,
October,,,,,,,2.54,9.7,3.09,6.28,5.72,7.82,10.96,5.82,,,,,,
November,,,,,,,1.18,10.9,9.38,5.92,4.83,1.24,3.68,8.59,,,,,,
December,,,,,,,3.23,5.49,2.97,5.74,2.83,8.37,2.77,5.43,,,,,,
Total,,,,,,,38.67,64.09,44.84,40.79,33.14,54.41,58.1,54.84,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1937 NP Low,,,,,,,,,,,,,,,,,,,,
BR 1938 P,,,,,,,,,,,,,,,,,,,,
BR 1939 P,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5317/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
