"GREENOCK, BATTERY PARK",,,,,,,,,,,
Grid ref,NS 25298 77783,Long,-4.800265,Lat,55.961192,Elevation,10,ft,,,
Station no,5317/5,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,10.39,,
February,,,,,,,,,4.61,,
March,,,,,,,,,3.08,,
April,,,,,,,,,2.35,,
May,,,,,,,,,1.64,,
June,,,,,,,,,5.66,,
July,,,,,,,,,3.66,,
August,,,,,,,,,4.38,,
September,,,,,,,,,5,,
October,,,,,,,,,5.7,,
November,,,,,,,,,7.62,,
December,,,,,,,,,6.09,,
Total,,,,,,,,,60.18,,
,,,,,,,,,,,
BR 1928 NP Gauge on roof,,,,,,,,,,,
,,,,,,,,,,,
Station no,5317/5,,,,,,,,,,
Midas,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,
