"CULROSS WESTGRANGE (BRANKSTON GRANGE)",,,,,,,,,,,,
Grid ref,NS976882,Long,-3.646705,Lat,56.075617,,,,,,,
Station no,RR1008,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.06,1.87,1.78,6.22,2.30,1.16,3.33,1.74,3.61,4.19,,
February,2.94,1.07,1.66,5.74,3.14,1.18,1.78,2.28,1.67,1.39,,
March,1.34,2.08,1.91,6.47,1.68,3.87,1.82,2.65,3.43,3.45,,
April,1.62,1.93,1.02,1.13,3.33,1.68,1.05,1.13,1.03,3.34,,
May,,1.37,1.69,1.91,2.75,1.77,4.67,2.81,2.70,2.98,,
June,,2.35,2.21,2.68,1.59,0.95,2.03,4.65,1.58,1.82,,
July,,1.45,3.35,6.19,1.70,3.27,1.58,3.05,2.99,2.80,,
August,,4.09,2.42,4.20,5.19,2.65,4.57,3.97,1.63,3.69,,
September,3.45,1.63,1.61,2.86,2.11,1.47,1.71,1.47,6.41,1.98,,
October,4.51,2.70,1.48,6.39,1.97,2.15,4.86,5.61,1.76,3.74,,
November,4.94,2.36,1.67,1.43,1.02,3.96,3.62,1.79,2.43,1.05,,
December,4.82,3.43,3.33,1.80,4.35,2.59,1.44,3.46,2.48,3.87,,
Total,-999.00,26.33,24.13,47.02,31.13,26.70,32.46,34.61,31.72,34.30,,
Calc annual,27.68,26.33,24.13,47.02,31.13,26.70,32.46,34.61,31.72,34.30,,
Difference,-1026.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
