HAMPTON (REFUSE DISPOSAL WORKS),,,,,,,,,,,,
Grid ref,TQ131715,Long,-0.374453,Lat,51.431225,,,,,,,
Station no,835/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.97,1.79,0.98,1.07,2.53,3.85,1.63,2.22,2.18,2.20,,
February,5.18,0.83,1.18,2.10,1.36,0.31,3.06,2.26,0.09,1.82,,
March,2.73,3.07,0.47,1.94,0.93,0.32,1.01,1.19,1.80,1.59,,
April,2.28,1.22,2.45,0.28,0.25,1.11,0.34,1.13,2.16,0.58,,
May,2.14,2.23,1.42,1.89,3.45,0.13,1.28,2.58,0.86,1.71,,
June,0.94,2.14,1.85,3.90,2.49,1.92,0.80,3.92,0.67,1.65,,
July,1.10,0.59,3.72,2.87,1.01,5.88,2.98,2.27,1.88,3.46,,
August,3.31,3.41,1.55,3.55,0.75,3.63,6.08,3.72,1.07,2.27,,
September,2.34,3.50,1.84,1.87,1.84,2.16,2.56,3.59,0.14,2.42,,
October,0.96,2.89,2.76,1.48,2.38,1.93,1.91,1.96,2.01,6.03,,
November,4.91,2.44,1.12,3.65,1.17,0.49,2.29,1.89,2.29,3.82,,
December,1.58,2.45,0.62,2.02,1.97,2.80,1.80,2.97,3.27,2.28,,
Total,30.44,26.56,19.96,26.62,20.13,24.53,25.74,29.70,18.42,29.83,,
Calc annual,30.44,26.56,19.96,26.62,20.13,24.53,25.74,29.70,18.42,29.83,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
