THAME-AYLESBURY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP706062,Long,-0.97870786,Lat,51.750056,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1087/2/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.33,1.32,2.72,1.62,2.17,2.26,3.39,1.24,2.9,1.38,1.75,1.8,2.08,0.79,3.41,3.94,3.35,3.72,2.08,1.67,0.86,3.02,0.86,1.36,0.94,0.65,4.15,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.47,3.28,0.39,2.93,2.14,3.43,1.76,0.43,0.5,1.86,0.15,2.84,0.22,2.22,1.7,4.07,0.68,1,1.69,1.74,0.37,0.64,0.97,1.51,1.72,0.94,0.54,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.08,2.02,0.99,0.56,0.29,2.36,1.48,0.1,1.03,0.04,1.71,2.23,1.86,0.42,2.35,2.85,0.37,1.51,2.14,1.99,1.72,0.43,0.18,0.74,0.94,4.03,0.63,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.55,2.26,2.43,2.27,2.35,1.49,1.38,1.15,2.4,3.1,2.11,1.1,1.36,3.56,1.44,3.65,0.02,2.55,1.7,1.42,0.59,0.72,0.98,1.38,0.94,1.71,1.19,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.89,1.63,5.34,2.85,2.14,1.5,1,1.49,2.32,2.53,6.43,1.62,0.62,0.88,0.58,4.13,1.78,1.06,1.87,1.22,2.27,1.26,0.46,2.65,2.81,1.54,3,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.55,0.32,2.6,0.1,2.75,3.11,1.65,0.7,1.25,1.45,0.56,1,1.11,3.74,3.39,1.91,1.11,1.92,0.8,1.32,0.26,1.9,1.51,2.43,2.36,0.86,1.76,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,5.59,1.89,3.49,5.31,2.51,3.05,2.76,1.28,3.01,4.36,3.89,1.63,0.89,0.92,3.77,1.43,1.87,3.34,2.49,5.6,1.73,1.06,1.52,2.29,1.2,1.28,0.83,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,5.06,2.6,1.98,2.05,1.33,4.17,2.45,1.78,2.23,4.41,2.03,0.68,2,1.95,0.73,1.73,2.96,2.04,0.08,2.92,2.42,1.74,1.83,1.01,2.35,0.41,2.27,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,1.79,2.03,3.76,2.71,2.17,4.54,0.95,0.25,3.58,2.25,4.31,2.2,2,4.52,3.15,1.81,1.86,0.61,0.76,0.24,0.7,1.5,2.11,2.3,2.97,1.22,2.07,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,0.35,4.6,3.65,3.31,2.02,1.59,3.76,3.53,0.95,0.85,4.93,1.61,1.72,3.46,1.39,3.6,3.02,5.34,2.47,1.03,2.68,2.26,3.15,2.68,0.8,0.29,2.35,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
