PORT TALBOT,,,,,,,,,,,,
Grid ref,SS789867,Long,-3.748571,Lat,51.566131,,,,,,,
Station no,4067/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.96,1.82,4.18,3.36,5.52,3.67,3.71,4.89,4.82,,
February,,0.85,2.77,5.26,2.87,0.34,4.72,4.94,0.45,3.51,,
March,,4.36,2.44,3.92,2.40,1.84,5.26,0.97,4.43,2.15,,
April,,3.59,3.12,1.11,3.33,1.75,0.43,0.72,3.59,2.71,,
May,,3.88,3.06,2.35,4.13,1.41,2.24,4.14,0.83,1.09,,
June,,2.60,2.71,5.31,5.13,2.73,1.03,4.51,2.74,2.19,,
July,,1.41,6.72,5.73,0.84,4.13,3.97,4.80,2.90,6.53,,
August,,6.40,6.32,4.73,0.81,5.33,4.37,5.48,1.60,4.08,,
September,,2.92,4.50,7.02,2.03,5.39,7.44,8.62,0.37,6.08,,
October,,4.57,4.44,7.98,2.30,1.28,4.44,4.54,5.24,6.04,,
November,,4.44,4.25,9.73,4.16,1.34,2.06,3.41,6.91,9.77,,
December,,4.38,1.46,4.34,7.37,5.59,2.65,5.24,8.83,5.35,,
Total,,44.36,43.61,61.66,38.73,36.65,42.28,51.08,42.78,54.32,,
Calc annual,0.00,44.36,43.61,61.66,38.73,36.65,42.28,51.08,42.78,54.32,,
Difference,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
