"BROXBOURNE STAFFORD HOUSE",,,,,,,,,,,,
Grid ref,TL372073,Long,-0.013997,Lat,51.747605,,,,,,,
Station no,RR1143,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,0.65,0.70,2.31,3.11,1.54,4.38,1.01,1.50,0.74,,
February,4.03,1.19,1.25,1.16,2.99,1.42,2.27,1.42,1.61,0.62,,
March,0.64,2.15,1.42,3.14,1.67,3.59,1.60,1.23,3.18,3.06,,
April,0.94,1.82,0.81,1.32,1.09,1.97,0.60,3.17,3.53,1.96,,
May,1.06,1.30,2.80,3.07,2.11,1.90,1.17,1.98,1.99,1.25,,
June,2.16,0.66,2.73,6.84,1.39,3.93,3.38,1.72,1.13,4.35,,
July,1.13,1.58,1.26,5.32,3.51,1.78,1.56,1.88,3.15,3.41,,
August,2.30,1.98,3.99,4.54,2.30,3.13,0.69,1.92,3.57,2.41,,
September,0.91,1.43,1.12,3.48,1.42,2.03,1.62,1.04,1.66,2.69,,
October,2.06,2.13,1.29,6.90,1.67,1.71,4.32,2.93,1.80,4.70,,
November,1.88,0.66,1.35,2.28,1.91,3.17,4.65,2.75,0.76,0.91,,
December,2.55,3.39,1.26,1.83,2.20,1.03,2.69,3.69,2.44,3.24,,
Total,22.87,18.94,19.98,42.19,25.37,27.20,28.93,24.74,26.32,29.34,,
Calc annual,22.87,18.94,19.98,42.19,25.37,27.20,28.93,24.74,26.32,29.34,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,
