"CAMELFORD NORTH CORNWALL CHINA CLAY CO STANNON WORKS",,,,,,,,,,,,
Grid ref,SX127807,Long,-4.647792,Lat,50.595898,,,,,,,
Station no,1893,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,3.06,,
May,,,,,,,,,,2.25,,
June,,,,,,,,,,3.48,,
July,,,,,,,,,,4.54,,
August,,,,,,,,,,3.06,,
September,,,,,,,,,,2.12,,
October,,,,,,,,,,9.55,,
November,,,,,,,,,,2.22,,
December,,,,,,,,,,7.58,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
