SUTTON BRIDGE (WINGLAND GRANGE),,,,,,,,,,,,
Grid ref,TF517220,Long,0.247393,Lat,52.774282,,,,,,,
Station no,2525/3/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.57,1.07,1.12,1.89,3.97,1.14,2.17,3.44,3.20,,
February,,0.51,1.26,2.10,2.46,0.66,3.35,3.24,0.14,1.31,,
March,,2.24,0.87,2.24,1.63,0.73,2.03,0.94,1.61,1.33,,
April,,0.92,1.57,0.34,0.83,0.93,0.15,0.59,1.01,0.51,,
May,,1.94,1.53,2.51,2.12,0.81,1.40,2.85,0.36,0.54,,
June,,1.27,4.06,2.12,2.05,2.47,1.59,3.29,0.95,2.22,,
July,,0.28,1.69,2.36,0.25,2.95,2.11,3.34,1.98,2.57,,
August,,2.03,2.23,3.87,0.57,5.60,2.17,1.99,1.34,2.92,,
September,,2.89,0.99,2.07,1.48,1.11,3.38,2.52,0.15,1.77,,
October,,1.65,2.05,3.14,2.04,1.11,1.43,1.55,1.48,3.68,,
November,,2.62,1.51,4.36,0.75,0.61,1.31,0.90,0.36,4.08,,
December,,1.43,0.63,1.98,1.33,-999.00,1.89,2.40,3.73,3.49,,
Total,,19.35,19.46,28.21,17.40,22.48,21.95,25.78,16.55,27.62,,
Calc annual,0.00,19.35,19.46,28.21,17.40,20.95,21.95,25.78,16.55,27.62,,
Difference,NaN,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,-0.00,,
