"UPPER HEYDEN (NEW GAUGE)",,,,,,,,,,,,
Grid ref,SE098035,Long,-1.853636,Lat,53.528072,,,,,,,
Station no,2760,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.90,4.00,6.24,5.00,8.23,6.66,6.05,6.83,10.03,,
February,,3.65,3.25,5.04,3.22,2.31,5.45,8.25,1.08,3.28,,
March,,4.03,3.75,4.65,3.80,3.05,6.00,5.10,2.84,2.33,,
April,3.59,4.43,4.07,1.65,3.70,4.22,0.98,2.75,6.47,4.03,,
May,4.85,3.47,3.50,4.75,7.10,2.72,2.42,5.77,2.40,2.50,,
June,1.90,4.28,4.65,4.20,4.45,4.38,2.72,6.93,2.54,2.63,,
July,4.80,3.98,9.70,10.35,1.90,11.40,7.90,6.55,4.91,9.73,,
August,6.30,5.40,6.75,9.40,1.00,14.76,9.83,5.74,1.23,6.43,,
September,4.01,6.05,4.70,9.60,3.39,7.12,11.30,6.20,0.45,4.50,,
October,1.40,7.50,2.69,13.65,4.72,5.46,10.00,5.75,6.33,10.16,,
November,13.00,4.78,6.05,10.35,3.00,4.61,5.33,2.23,10.73,8.47,,
December,10.50,5.47,3.04,14.20,8.00,7.97,9.40,7.45,10.73,7.09,,
Total,,59.94,56.15,94.08,49.28,76.23,77.99,68.77,56.54,71.18,,
Calc annual,50.35,59.94,56.15,94.08,49.28,76.23,77.99,68.77,56.54,71.18,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
