UPPER-HEYDEN-NEWEST,,,,,,,,,,
Grid ref,SE098035,Long,-1.8536362,Lat,53.528072,Elevation,1717,ft.,,
Station no,2760/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4,6.24,,8.23,6.66,,6.83,10.03
February,,3.65,3.25,5.04,3.22,2.31,,8.25,1.08,3.28
March,,4.03,3.75,4.65,3.8,3.05,,5.1,2.84,2.33
April,3.59,4.43,4.07,1.65,3.7,,,2.75,6.47,4.03
May,4.85,3.47,3.5,4.75,7.1,2.72,2.42,5.77,2.4,
June,1.9,4.28,4.65,,4.45,4.38,2.72,,2.54,2.63
July,4.8,3.98,9.7,10.35,1.9,11.4,7.9,6.55,4.91,9.73
August,6.3,5.4,6.75,9.4,,14.76,9.83,5.74,1.23,6.43
September,4.01,6.05,4.7,9.6,3.39,7.12,11.3,6.2,,4.5
October,1.4,7.5,2.69,13.65,4.72,5.46,10,5.75,6.33,10.16
November,13,,6.05,10.35,3,4.61,5.33,2.23,10.73,8.47
December,,,3.04,14.2,8,7.97,9.4,7.45,10.73,7.09
Total,,,56.15,,,,,,,
,,,,,,,,,,
NGR is from 1950s record and is Upper Heyden. Altitudes match.,,,,,,,,,,
